ts_ns,nav
1709040120000000000,80848.03113485
1709040180000000000,80848.03113485
1709040240000000000,80848.03113485
1709040300000000000,80848.03113485
1709040360000000000,80848.03113485
1709040420000000000,80848.03113485
1709040480000000000,80848.03113485
1709040540000000000,80848.03113485
1709040600000000000,80848.03113485
1709040660000000000,80848.03113485
1709040720000000000,80848.03113485
1709040780000000000,80848.03113485
1709040840000000000,80848.03113485
1709040900000000000,80848.03113485
1709040960000000000,80848.03113485
1709041020000000000,80848.03113485
1709041080000000000,80848.03113485
1709041140000000000,80848.03113485
1709041200000000000,80848.03113485
1709041260000000000,80848.03113485
1709041320000000000,80848.03113485
1709041380000000000,80848.03113485
1709041440000000000,80848.03113485
1709041500000000000,80848.03113485
1709041560000000000,80848.03113485
1709041620000000000,80848.03113485
1709041680000000000,80848.03113485
1709041740000000000,80848.03113485
1709041800000000000,80848.03113485
1709041860000000000,80848.03113485
1709041920000000000,80848.03113485
1709041980000000000,80848.03113485
1709042040000000000,80848.03113485
1709042100000000000,80848.03113485
1709042160000000000,80848.03113485
1709042220000000000,80848.03113485
1709042280000000000,80848.03113485
1709042340000000000,80848.03113485
1709042400000000000,80848.03113485
1709042460000000000,80848.03113485
1709042520000000000,80848.03113485
1709042580000000000,80848.03113485
1709042640000000000,80848.03113485
1709042700000000000,80848.03113485
1709042760000000000,80848.03113485
1709042820000000000,80848.03113485
1709042880000000000,80848.03113485
1709042940000000000,80848.03113485
1709043000000000000,80848.03113485
1709043060000000000,80848.03113485
1709043120000000000,80848.03113485
1709043180000000000,80848.03113485
1709043240000000000,80848.03113485
1709043300000000000,80848.03113485
1709043360000000000,80848.03113485
1709043420000000000,80848.03113485
1709043480000000000,80848.03113485
1709043540000000000,80848.03113485
1709043600000000000,80848.03113485
1709043660000000000,80848.03113485
1709043720000000000,80848.03113485
1709043780000000000,80848.03113485
1709043840000000000,80848.03113485
1709043900000000000,80848.03113485
1709043960000000000,80848.03113485
1709044020000000000,80848.03113485
1709044080000000000,80848.03113485
1709044140000000000,80848.03113485
1709044200000000000,80848.03113485
1709044260000000000,80848.03113485
1709044320000000000,80848.03113485
1709044380000000000,80848.03113485
1709044440000000000,80848.03113485
1709044500000000000,80477.72689286
1709044560000000000,80480.49619286
1709044620000000000,81222.66859286
1709044680000000000,81811.60639286
1709044740000000000,82095.92119286
1709044800000000000,82044.22759286
1709044860000000000,81810.68329286
1709044920000000000,79778.94019286
1709044980000000000,79718.01559286
1709045040000000000,79274.92759286
1709045100000000000,78423.02324963
1709045160000000000,78423.02324963
1709045220000000000,78423.02324963
1709045280000000000,78423.02324963
1709045340000000000,78423.02324963
1709045400000000000,78423.02324963
1709045460000000000,77945.96166671
1709045520000000000,77625.24606671
1709045580000000000,78736.98036671
1709045640000000000,80760.60006671
1709045700000000000,80055.74376671
1709045760000000000,79378.41156671
1709045820000000000,80383.63956671
1709045880000000000,81281.16456671
1709045940000000000,80810.86146671
1709046000000000000,80474.58876671
1709046060000000000,80955.66216671
1709046120000000000,81575.55276671
1709046180000000000,81216.54276671
1709046240000000000,81198.59226671
1709046300000000000,81944.13636671
1709046360000000000,81376.90056671
1709046420000000000,80977.20276671
1709046480000000000,79610.57136671
1709046540000000000,78893.74806671
1709046600000000000,78886.56786671
1709046660000000000,78861.43716671
1709046720000000000,79135.48146671
1709046780000000000,80652.89706671
1709046840000000000,80472.19536671
1709046900000000000,80375.26266671
1709046960000000000,80169.43026671
1709047020000000000,82194.24666671
1709047080000000000,81956.10336671
1709047140000000000,82997.23236671
1709047200000000000,82694.46726671
1709047260000000000,82678.07798153
1709047320000000000,82678.07798153
1709047380000000000,82678.07798153
1709047440000000000,82678.07798153
1709047500000000000,82678.07798153
1709047560000000000,82678.07798153
1709047620000000000,82678.07798153
1709047680000000000,82678.07798153
1709047740000000000,82678.07798153
1709047800000000000,82678.07798153
1709047860000000000,82678.07798153
1709047920000000000,82678.07798153
1709047980000000000,82678.07798153
1709048040000000000,82678.07798153
1709048100000000000,82678.07798153
1709048160000000000,82678.07798153
1709048220000000000,82678.07798153
1709048280000000000,82678.07798153
1709048340000000000,82678.07798153
1709048400000000000,82678.07798153
1709048460000000000,82202.48505322
1709048520000000000,82255.88655322
1709048580000000000,83606.35115322
1709048640000000000,83328.66335322
1709048700000000000,83842.50445322
1709048760000000000,84439.41455322
1709048820000000000,85172.79515322
1709048880000000000,84962.74925322
1709048940000000000,84066.79075322
1709049000000000000,84669.63435322
1709049060000000000,85315.19915322
1709049120000000000,84933.08175322
1709049180000000000,85501.51105322
1709049240000000000,86602.76865322
1709049300000000000,86857.90915322
1709049360000000000,86974.58858264
1709049420000000000,86974.58858264
1709049480000000000,86974.58858264
1709049540000000000,86974.58858264
1709049600000000000,86974.58858264
1709049660000000000,86974.58858264
1709049720000000000,86974.58858264
1709049780000000000,86974.58858264
1709049840000000000,86974.58858264
1709049900000000000,86974.58858264
1709049960000000000,86974.58858264
1709050020000000000,86974.58858264
1709050080000000000,86974.58858264
1709050140000000000,86974.58858264
1709050200000000000,86974.58858264
1709050260000000000,86974.58858264
1709050320000000000,86974.58858264
1709050380000000000,86974.58858264
1709050440000000000,86974.58858264
1709050500000000000,86974.58858264
1709050560000000000,86974.58858264
1709050620000000000,86436.05190902
1709050680000000000,85916.07750902
1709050740000000000,86919.46560902
1709050800000000000,87137.47570902
1709050860000000000,88681.14970902
1709050920000000000,89302.68160902
1709050980000000000,88511.88720902
1709051040000000000,89799.63630902
1709051100000000000,89186.22900902
1709051160000000000,90033.89560902
1709051220000000000,90771.5711034
1709051280000000000,90771.5711034
1709051340000000000,90771.5711034
1709051400000000000,90771.5711034
1709051460000000000,90771.5711034
1709051520000000000,90771.5711034
1709051580000000000,90771.5711034
1709051640000000000,90771.5711034
1709051700000000000,90771.5711034
1709051760000000000,90771.5711034
1709051820000000000,90771.5711034
1709051880000000000,90771.5711034
1709051940000000000,90771.5711034
1709052000000000000,90771.5711034
1709052060000000000,90771.5711034
1709052120000000000,90771.5711034
1709052180000000000,90771.5711034
1709052240000000000,90771.5711034
1709052300000000000,90771.5711034
1709052360000000000,90771.5711034
