decision_close,decision_fan_gain,decision_fan_magnitude,decision_time,entry_index,entry_price,entry_time,entry_transition,event_id,exit_index,exit_price,exit_reason,exit_time,gross_return,hold_minutes,mae_120m_net,mae_30m_net,mae_60m_net,mfe_120m_net,mfe_30m_net,mfe_60m_net,net_return,original_signal_time,period_label,planned_loss_fraction,policy,r_multiple,segment_id,signal_close,signal_fan_magnitude,signal_to_decision_minutes,split,stop_price,symbol,symbol_priority,rejection_reason
0.8163,1.0070126441827179,1.2687351129934483,2023-07-13 18:39:59.999000+00:00,13472,0.8164,2023-07-13 18:40:00+00:00,immediate,continuous_boolean_run:XRPUSDT:2023-07-13T18:39:59.999000+00:00:1,13473,0.7755799999999999,stoploss,2023-07-13 18:49:59.999000+00:00,-0.050000000000000044,9.999983333333335,-0.08200779029887316,-0.08200779029887316,-0.08200779029887316,0.07882023517883387,-0.0014100440960313914,0.07882023517883387,-0.05190000000000004,2023-07-13 18:39:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,-1.0000000000000009,1,0.8163,1.2687351129934483,0.0,fresh_confirmation,0.7755799999999999,XRPUSDT,3,GLOBAL_SLOT_OCCUPIED
0.7995,1.0040200418542877,1.3168429057685325,2023-07-13 19:19:59.999000+00:00,13480,0.7995,2023-07-13 19:20:00+00:00,immediate,continuous_boolean_run:XRPUSDT:2023-07-13T19:19:59.999000+00:00:1,13483,0.823485,roi_0.03,2023-07-13 19:39:59.999000+00:00,0.030000000000000027,19.999983333333333,-0.0431757973733584,-0.02241282051282044,-0.02241282051282044,0.10166472795497185,0.10166472795497185,0.10166472795497185,0.028100000000000028,2023-07-13 19:19:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,0.5414258188824668,1,0.7995,1.3168429057685325,0.0,fresh_confirmation,0.759525,XRPUSDT,3,GLOBAL_SLOT_OCCUPIED
0.797,1.0036862596718412,1.3216971306662173,2023-07-13 19:24:59.999000+00:00,13481,0.7969,2023-07-13 19:25:00+00:00,immediate,continuous_boolean_run:XRPUSDT:2023-07-13T19:24:59.999000+00:00:1,13483,0.8208070000000001,roi_0.03,2023-07-13 19:39:59.999000+00:00,0.030000000000000027,14.999983333333335,-0.04004782281340201,-0.016832864851298854,-0.016832864851298854,0.1052652654034383,0.1052652654034383,0.1052652654034383,0.028100000000000028,2023-07-13 19:24:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,0.5414258188824668,1,0.797,1.3216971306662173,0.0,fresh_confirmation,0.757055,XRPUSDT,3,GLOBAL_SLOT_OCCUPIED
0.7993,1.0035621115654176,1.3264051633013427,2023-07-13 19:29:59.999000+00:00,13482,0.7993,2023-07-13 19:30:00+00:00,immediate,continuous_boolean_run:XRPUSDT:2023-07-13T19:29:59.999000+00:00:1,13483,0.839265,roi_0.05,2023-07-13 19:39:59.999000+00:00,0.050000000000000044,9.999983333333335,-0.04293590641811594,-0.019790654322532228,-0.019790654322532228,0.1019408607531589,0.1019408607531589,0.1019408607531589,0.048100000000000045,2023-07-13 19:29:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,0.9267822736030837,1,0.7993,1.3264051633013427,0.0,fresh_confirmation,0.759335,XRPUSDT,3,GLOBAL_SLOT_OCCUPIED
0.8301,1.0041215628415892,1.341987556622827,2023-07-13 19:44:59.999000+00:00,13485,0.8301,2023-07-13 19:45:00+00:00,immediate,continuous_boolean_run:XRPUSDT:2023-07-13T19:44:59.999000+00:00:1,13501,0.7885949999999999,stoploss,2023-07-13 21:09:59.999000+00:00,-0.050000000000000044,84.99998333333333,-0.07851727502710514,-0.04587060595109026,-0.04587060595109026,0.003039163956150017,0.002075424647632897,0.003039163956150017,-0.05190000000000004,2023-07-13 19:44:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,-1.0000000000000009,1,0.8301,1.341987556622827,0.0,fresh_confirmation,0.7885949999999999,XRPUSDT,3,GLOBAL_SLOT_OCCUPIED
0.8039,1.0028549920813445,1.345818920470248,2023-07-13 19:49:59.999000+00:00,13486,0.8038,2023-07-13 19:50:00+00:00,immediate,continuous_boolean_run:XRPUSDT:2023-07-13T19:49:59.999000+00:00:1,13488,0.8279139999999999,roi_0.03,2023-07-13 20:04:59.999000+00:00,0.030000000000000027,14.999983333333335,-0.0483045782532968,-0.011106270216471691,-0.011106270216471691,0.035920353321721846,0.034925080865887206,0.035920353321721846,0.028100000000000028,2023-07-13 19:49:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,0.5414258188824668,1,0.8039,1.345818920470248,0.0,fresh_confirmation,0.7636099999999999,XRPUSDT,3,GLOBAL_SLOT_OCCUPIED
0.82,1.0033005886942368,1.350260915183642,2023-07-13 19:54:59.999000+00:00,13487,0.82,2023-07-13 19:55:00+00:00,immediate,continuous_boolean_run:XRPUSDT:2023-07-13T19:54:59.999000+00:00:1,13496,0.8281999999999999,roi_0.01,2023-07-13 20:44:59.999000+00:00,0.010000000000000009,49.99998333333333,-0.06714390243902434,-0.030680487804877962,-0.030680487804877962,0.015417073170731722,0.01444146341463416,0.015417073170731722,0.008100000000000008,2023-07-13 19:54:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,0.15606936416184986,1,0.82,1.350260915183642,0.0,fresh_confirmation,0.7789999999999999,XRPUSDT,3,GLOBAL_SLOT_OCCUPIED
0.8218,1.0031672575348942,1.3545375392413306,2023-07-13 19:59:59.999000+00:00,13488,0.8218,2023-07-13 20:00:00+00:00,immediate,continuous_boolean_run:XRPUSDT:2023-07-13T19:59:59.999000+00:00:1,13497,0.830018,roi_0.01,2023-07-13 20:49:59.999000+00:00,0.010000000000000009,49.99998333333333,-0.06919131175468483,-0.032807763446093915,-0.032807763446093915,0.013188829398880676,0.01221535653443674,0.013188829398880676,0.008100000000000008,2023-07-13 19:59:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,0.15606936416184986,1,0.8218,1.3545375392413306,0.0,fresh_confirmation,0.7807099999999999,XRPUSDT,3,GLOBAL_SLOT_OCCUPIED
0.8149,1.0027057539112567,1.358202584486077,2023-07-13 20:04:59.999000+00:00,13489,0.8148,2023-07-13 20:05:00+00:00,immediate,continuous_boolean_run:XRPUSDT:2023-07-13T20:04:59.999000+00:00:1,13498,0.822948,roi_0.01,2023-07-13 20:54:59.999000+00:00,0.010000000000000009,49.99998333333333,-0.06117835051546393,-0.024482228767795697,-0.028041384388807086,0.021909523809523948,0.013195729013254732,0.021909523809523948,0.008100000000000008,2023-07-13 20:04:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,0.15606936416184986,1,0.8149,1.358202584486077,0.0,fresh_confirmation,0.77406,XRPUSDT,3,GLOBAL_SLOT_OCCUPIED
0.8182,1.0020470468652434,1.3729737438799516,2023-07-13 20:29:59.999000+00:00,13494,0.8183,2023-07-13 20:30:00+00:00,immediate,continuous_boolean_run:XRPUSDT:2023-07-13T20:29:59.999000+00:00:1,13501,0.777385,stoploss,2023-07-13 21:09:59.999000+00:00,-0.050000000000000044,39.99998333333333,-0.0652019674935843,-0.017419980447268765,-0.0652019674935843,0.01753052670169876,0.01753052670169876,0.01753052670169876,-0.05190000000000004,2023-07-13 20:29:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,-1.0000000000000009,1,0.8182,1.3729737438799516,0.0,fresh_confirmation,0.777385,XRPUSDT,3,GLOBAL_SLOT_OCCUPIED
0.8288,1.0020218125966893,1.3807506947312929,2023-07-13 20:44:59.999000+00:00,13497,0.8288,2023-07-13 20:45:00+00:00,immediate,continuous_boolean_run:XRPUSDT:2023-07-13T20:44:59.999000+00:00:1,13501,0.78736,stoploss,2023-07-13 21:09:59.999000+00:00,-0.050000000000000044,24.999983333333333,-0.07706891891891897,-0.07706891891891897,-0.07706891891891897,0.0017196911196910708,0.0017196911196910708,0.0017196911196910708,-0.05190000000000004,2023-07-13 20:44:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,-1.0000000000000009,1,0.8288,1.3807506947312929,0.0,fresh_confirmation,0.78736,XRPUSDT,3,GLOBAL_SLOT_OCCUPIED
29.773,1.0037173390494503,1.1134867471899057,2023-07-14 00:54:59.999000+00:00,13547,29.772,2023-07-14 00:55:00+00:00,immediate,continuous_boolean_run:SOLUSDT:2023-07-14T00:54:59.999000+00:00:1,13556,30.06972,roi_0.01,2023-07-14 01:44:59.999000+00:00,0.010000000000000009,49.99998333333333,-0.05140960634152901,-0.05140960634152901,-0.05140960634152901,0.00911706301222638,-0.0014297595055756545,0.00911706301222638,0.008100000000000008,2023-07-14 00:54:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,0.15606936416184986,1,29.773,1.1134867471899057,0.0,fresh_confirmation,28.283399999999997,SOLUSDT,2,GLOBAL_SLOT_OCCUPIED
28.804,1.0023505015697691,1.1195846603493163,2023-07-14 01:04:59.999000+00:00,13549,28.805,2023-07-14 01:05:00+00:00,immediate,continuous_boolean_run:SOLUSDT:2023-07-14T01:04:59.999000+00:00:1,13553,29.669150000000002,roi_0.03,2023-07-14 01:29:59.999000+00:00,0.030000000000000027,24.999983333333333,-0.019501110918243456,-0.019501110918243456,-0.019501110918243456,0.04305747266099648,0.033059208470751736,0.04305747266099648,0.028100000000000028,2023-07-14 01:04:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,0.5414258188824668,1,28.804,1.1195846603493163,0.0,fresh_confirmation,27.364749999999997,SOLUSDT,2,GLOBAL_SLOT_OCCUPIED
28.754,1.0021829947319352,1.1220287077648143,2023-07-14 01:09:59.999000+00:00,13550,28.754,2023-07-14 01:10:00+00:00,immediate,continuous_boolean_run:SOLUSDT:2023-07-14T01:09:59.999000+00:00:1,13553,29.61662,roi_0.03,2023-07-14 01:29:59.999000+00:00,0.030000000000000027,19.999983333333333,-0.01775866314251938,-0.01775866314251938,-0.01775866314251938,0.044910878486471364,0.03934643527856997,0.044910878486471364,0.028100000000000028,2023-07-14 01:09:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,0.5414258188824668,1,28.754,1.1220287077648143,0.0,fresh_confirmation,27.3163,SOLUSDT,2,GLOBAL_SLOT_OCCUPIED
28.887,1.0022178275807927,1.1245171739793363,2023-07-14 01:14:59.999000+00:00,13551,28.889,2023-07-14 01:15:00+00:00,immediate,continuous_boolean_run:SOLUSDT:2023-07-14T01:14:59.999000+00:00:1,13554,29.75567,roi_0.03,2023-07-14 01:34:59.999000+00:00,0.030000000000000027,19.999983333333333,-0.022357613624562997,-0.022357613624562997,-0.022357613624562997,0.04001906954204039,0.04001906954204039,0.04001906954204039,0.028100000000000028,2023-07-14 01:14:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,0.5414258188824668,1,28.887,1.1245171739793363,0.0,fresh_confirmation,27.44455,SOLUSDT,2,GLOBAL_SLOT_OCCUPIED
28.945,1.0021704838350454,1.1269579203276894,2023-07-14 01:19:59.999000+00:00,13552,28.954,2023-07-14 01:20:00+00:00,immediate,continuous_boolean_run:SOLUSDT:2023-07-14T01:19:59.999000+00:00:1,13555,29.82262,roi_0.03,2023-07-14 01:39:59.999000+00:00,0.030000000000000027,19.999983333333333,-0.015576866754161799,-0.005526441942391367,-0.00652803066933759,0.037680023485528805,0.037680023485528805,0.037680023485528805,0.028100000000000028,2023-07-14 01:19:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,0.5414258188824668,1,28.945,1.1269579203276894,0.0,fresh_confirmation,27.5063,SOLUSDT,2,GLOBAL_SLOT_OCCUPIED
29.242,1.0023776854461572,1.1296374717732842,2023-07-14 01:24:59.999000+00:00,13553,29.237,2023-07-14 01:25:00+00:00,immediate,continuous_boolean_run:SOLUSDT:2023-07-14T01:24:59.999000+00:00:1,13636,29.237,roi_0,2023-07-14 08:24:59.999000+00:00,0.0,419.9999833333333,-0.02902316585148955,-0.007919769470191783,-0.01616274925607951,0.02761739234531603,0.02761739234531603,0.02761739234531603,-0.0019,2023-07-14 01:24:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,-0.036608863198458574,1,29.242,1.1296374717732842,0.0,fresh_confirmation,27.775149999999996,SOLUSDT,2,GLOBAL_SLOT_OCCUPIED
29.693,1.0027364568329713,1.1327286759516986,2023-07-14 01:29:59.999000+00:00,13554,29.688,2023-07-14 01:30:00+00:00,immediate,continuous_boolean_run:SOLUSDT:2023-07-14T01:29:59.999000+00:00:1,13640,29.688,roi_0,2023-07-14 08:44:59.999000+00:00,0.0,434.9999833333333,-0.04380245216922661,-0.023019644300727546,-0.031137402317434656,0.011977661007814623,0.011977661007814623,0.011977661007814623,-0.0019,2023-07-14 01:29:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,-0.036608863198458574,1,29.693,1.1327286759516986,0.0,fresh_confirmation,28.203599999999998,SOLUSDT,2,GLOBAL_SLOT_OCCUPIED
