split,asset,phase,scenario,return_column,events,independent_events,independent_events_per_day,mean_bps,net10_mean_bps,hit_rate,profit_factor,independent_mean_bps,independent_net10_mean_bps,independent_hit_rate,independent_profit_factor
forward,BTCUSDT,PLACEBO_POOLED,sc_reversal30_realign_burst,dir_bps_d30_h480,56,14,2.3333333333333335,-70.88325722689873,-80.88325722689873,0.32142857142857145,0.30361954783860884,-81.17495858073015,-91.17495858073015,0.14285714285714285,0.18058085266524035
forward,BTCUSDT,PLACEBO_POOLED,sc_reversal30_realign_price,dir_bps_d30_h480,75,17,2.8333333333333335,-70.05916677790607,-80.05916677790607,0.3466666666666667,0.34118887555297844,-64.34246281591282,-74.34246281591282,0.35294117647058826,0.4229344183284168
forward,BTCUSDT,PLACEBO_POOLED,sc_abs50,dir_bps_d30_h720,637,14,2.3333333333333335,-10.076195208437706,-20.076195208437706,0.4913657770800628,0.9063330142727595,25.822389578236287,15.822389578236287,0.5714285714285714,1.3603660566037108
forward,BTCUSDT,PLACEBO_POOLED,sc_abs75,dir_bps_d30_h720,220,12,2.0,5.958984955766757,-4.041015044233243,0.4772727272727273,1.0578504963785633,47.842268599609234,37.842268599609234,0.5833333333333334,1.8717039786658307
forward,BTCUSDT,PLACEBO_POOLED,sc_absorbed_1m,dir_bps_d30_h720,185,13,2.1666666666666665,-28.718601051046857,-38.71860105104686,0.4540540540540541,0.7523554221390526,-48.46802989400775,-58.46802989400775,0.5384615384615384,0.5445333309487452
forward,BTCUSDT,PLACEBO_POOLED,sc_aligned_1m,dir_bps_d30_h720,452,14,2.3333333333333335,-2.4460069763963483,-12.446006976396347,0.5066371681415929,0.9765122647715442,33.758700338348284,23.758700338348284,0.5,1.49798818358875
forward,BTCUSDT,PLACEBO_POOLED,sc_all,dir_bps_d30_h720,1728,14,2.3333333333333335,-12.66618062014486,-22.66618062014486,0.4837962962962963,0.8814088496099198,93.68714417120489,83.68714417120489,0.7142857142857143,3.7104544114991267
forward,BTCUSDT,PLACEBO_POOLED,sc_burst125,dir_bps_d30_h720,728,14,2.3333333333333335,0.7199735885776547,-9.280026411422345,0.5096153846153846,1.0069917504138821,-80.59337128627996,-90.59337128627996,0.42857142857142855,0.435655233832321
forward,BTCUSDT,PLACEBO_POOLED,sc_consensus_flow,dir_bps_d30_h720,309,14,2.3333333333333335,-30.942443904202467,-40.94244390420246,0.45307443365695793,0.730928250646908,-110.02087336799893,-120.02087336799893,0.21428571428571427,0.2219447556777903
forward,BTCUSDT,PLACEBO_POOLED,sc_extreme_burst,dir_bps_d30_h720,297,14,2.3333333333333335,2.2639490729942695,-7.7360509270057305,0.5151515151515151,1.0218408046675653,-48.387321700001976,-58.387321700001976,0.5,0.6094725359522702
forward,BTCUSDT,PLACEBO_POOLED,sc_nonfunding_abs50,dir_bps_d30_h720,637,14,2.3333333333333335,-10.076195208437706,-20.076195208437706,0.4913657770800628,0.9063330142727595,25.822389578236287,15.822389578236287,0.5714285714285714,1.3603660566037108
forward,BTCUSDT,PLACEBO_POOLED,sc_nonfunding_extreme,dir_bps_d30_h720,297,14,2.3333333333333335,2.2639490729942695,-7.7360509270057305,0.5151515151515151,1.0218408046675653,-48.387321700001976,-58.387321700001976,0.5,0.6094725359522702
forward,BTCUSDT,PLACEBO_POOLED,sc_persistent_flow,dir_bps_d30_h720,302,13,2.1666666666666665,-24.484177199029823,-34.48417719902982,0.4768211920529801,0.7878069811489125,10.9211900118644,0.9211900118644003,0.5384615384615384,1.1290988590913829
forward,BTCUSDT,PLACEBO_POOLED,sc_reversal30,dir_bps_d30_h720,321,13,2.1666666666666665,-33.847953542249975,-43.847953542249975,0.4392523364485981,0.7150022219841374,-49.37600666875467,-59.37600666875467,0.46153846153846156,0.5848659281303326
forward,BTCUSDT,PLACEBO_POOLED,sc_reversal30_5bps,dir_bps_d30_h720,289,13,2.1666666666666665,-31.578691504591827,-41.57869150459183,0.43944636678200694,0.7279020724420929,-49.37600666875467,-59.37600666875467,0.46153846153846156,0.5848659281303326
forward,BTCUSDT,PLACEBO_POOLED,sc_reversal30_full,dir_bps_d30_h720,29,10,1.6666666666666667,-79.2302165192963,-89.2302165192963,0.3103448275862069,0.36247323743441073,1.7095215944015762,-8.290478405598424,0.6,1.0173224836085617
forward,BTCUSDT,PLACEBO_POOLED,sc_reversal30_realign,dir_bps_d30_h720,138,12,2.0,-66.56642849779836,-76.56642849779836,0.37681159420289856,0.49917602067336175,-103.98925064283469,-113.98925064283469,0.16666666666666666,0.25100572194417925
forward,BTCUSDT,PLACEBO_POOLED,sc_reversal30_realign_burst,dir_bps_d30_h720,56,11,1.8333333333333333,-89.91799855608876,-99.91799855608876,0.3392857142857143,0.3706723511846587,-54.02022705871561,-64.02022705871562,0.36363636363636365,0.5034639244128998
forward,BTCUSDT,PLACEBO_POOLED,sc_reversal30_realign_price,dir_bps_d30_h720,75,12,2.0,-80.54278509278267,-90.54278509278267,0.30666666666666664,0.3730808411447996,-74.32730047062567,-84.32730047062567,0.25,0.2975830678714314
forward,ETHUSDT,placebo_03,sc_abs50,dir_bps_d30_h240,186,36,6.0,1.812597715159795,-8.187402284840205,0.543010752688172,1.0302976442531517,-1.3895616565083262,-11.389561656508326,0.5,0.9759317116690392
forward,ETHUSDT,placebo_03,sc_abs75,dir_bps_d30_h240,47,21,3.5,-21.139567225791982,-31.139567225791982,0.48936170212765956,0.6535034189115929,-23.644079261571967,-33.64407926157197,0.5238095238095238,0.6605020411047439
forward,ETHUSDT,placebo_03,sc_absorbed_1m,dir_bps_d30_h240,67,28,4.666666666666667,-7.232837502254361,-17.232837502254363,0.4925373134328358,0.8948960339732595,-21.3512659908147,-31.3512659908147,0.4642857142857143,0.6755502073481578
forward,ETHUSDT,placebo_03,sc_aligned_1m,dir_bps_d30_h240,119,32,5.333333333333333,6.905405778745917,-3.0945942212540833,0.5714285714285714,1.1260917089577678,18.936253571543112,8.936253571543112,0.46875,1.4353204995926503
forward,ETHUSDT,placebo_03,sc_all,dir_bps_d30_h240,576,42,7.0,3.6695238378507886,-6.330476162149211,0.5381944444444444,1.0561233313909322,-3.1695469059910653,-13.169546905991066,0.6190476190476191,0.9525387462541213
forward,ETHUSDT,placebo_03,sc_burst125,dir_bps_d30_h240,256,38,6.333333333333333,9.982850777740703,-0.017149222259297048,0.5390625,1.1555142469617412,53.83257516374642,43.83257516374642,0.5263157894736842,2.487145125920208
forward,ETHUSDT,placebo_03,sc_consensus_flow,dir_bps_d30_h240,101,29,4.833333333333333,15.285672230251548,5.2856722302515475,0.6138613861386139,1.323077738237912,21.18052425915801,11.180524259158009,0.5862068965517241,1.7259243083732863
forward,ETHUSDT,placebo_03,sc_extreme_burst,dir_bps_d30_h240,94,33,5.5,6.540693281178188,-3.4593067188218116,0.5212765957446809,1.1126538420614431,-29.896710433139646,-39.896710433139646,0.45454545454545453,0.5670296349793957
forward,ETHUSDT,placebo_03,sc_nonfunding_abs50,dir_bps_d30_h240,186,36,6.0,1.812597715159795,-8.187402284840205,0.543010752688172,1.0302976442531517,-1.3895616565083262,-11.389561656508326,0.5,0.9759317116690392
forward,ETHUSDT,placebo_03,sc_nonfunding_extreme,dir_bps_d30_h240,94,33,5.5,6.540693281178188,-3.4593067188218116,0.5212765957446809,1.1126538420614431,-29.896710433139646,-39.896710433139646,0.45454545454545453,0.5670296349793957
forward,ETHUSDT,placebo_03,sc_persistent_flow,dir_bps_d30_h240,97,32,5.333333333333333,-1.1585143084355292,-11.15851430843553,0.5463917525773195,0.9803397286374597,-25.757036218470777,-35.75703621847077,0.53125,0.6092311099220081
forward,ETHUSDT,placebo_03,sc_reversal30,dir_bps_d30_h240,95,31,5.166666666666667,28.392309363292455,18.392309363292455,0.5789473684210527,1.6500648798028157,45.14583372398278,35.14583372398278,0.6129032258064516,2.3096126134700588
forward,ETHUSDT,placebo_03,sc_reversal30_5bps,dir_bps_d30_h240,82,28,4.666666666666667,23.020885675144786,13.020885675144786,0.5487804878048781,1.483113162732493,52.6295257508095,42.6295257508095,0.6785714285714286,2.4964958085234445
forward,ETHUSDT,placebo_03,sc_reversal30_full,dir_bps_d30_h240,10,9,1.5,-47.5789554560085,-57.5789554560085,0.5,0.418408406017871,-28.083878088153867,-38.08387808815387,0.5555555555555556,0.575235572027846
forward,ETHUSDT,placebo_03,sc_reversal30_realign,dir_bps_d30_h240,39,21,3.5,42.92938338902612,32.92938338902612,0.5897435897435898,1.9720377703967893,49.239968045314896,39.239968045314896,0.5714285714285714,2.192879728982205
forward,ETHUSDT,placebo_03,sc_reversal30_realign_burst,dir_bps_d30_h240,16,11,1.8333333333333333,22.38350917347193,12.383509173471928,0.625,1.3779504044274242,53.86568261487875,43.86568261487875,0.7272727272727273,2.180509529761799
forward,ETHUSDT,placebo_03,sc_reversal30_realign_price,dir_bps_d30_h240,22,16,2.6666666666666665,29.039365672241704,19.039365672241704,0.5909090909090909,1.556705387026817,20.178607948244625,10.178607948244625,0.5625,1.382487517147359
forward,ETHUSDT,placebo_03,sc_abs50,dir_bps_d30_h480,186,19,3.1666666666666665,1.3434721790436273,-8.656527820956374,0.4838709677419355,1.0135219365927248,-61.00083542616999,-71.00083542617,0.47368421052631576,0.5259212825661835
forward,ETHUSDT,placebo_03,sc_abs75,dir_bps_d30_h480,47,13,2.1666666666666665,-15.540136255582262,-25.54013625558226,0.46808510638297873,0.8589275581666187,-22.359767270096953,-32.35976727009695,0.46153846153846156,0.8214227627939927
forward,ETHUSDT,placebo_03,sc_absorbed_1m,dir_bps_d30_h480,67,16,2.6666666666666665,-25.213561016761318,-35.21356101676132,0.44776119402985076,0.7844202810733174,57.66104176327583,47.66104176327583,0.5,1.6499061988488688
forward,ETHUSDT,placebo_03,sc_aligned_1m,dir_bps_d30_h480,119,17,2.8333333333333335,16.29575137332037,6.295751373320371,0.5042016806722689,1.1821881268166425,56.27782874708375,46.27782874708375,0.6470588235294118,1.673237527846623
forward,ETHUSDT,placebo_03,sc_all,dir_bps_d30_h480,576,20,3.3333333333333335,2.898110744447692,-7.101889255552308,0.5017361111111112,1.0298342608604718,-44.987490836836756,-54.987490836836756,0.45,0.6617878981804897
forward,ETHUSDT,placebo_03,sc_burst125,dir_bps_d30_h480,256,20,3.3333333333333335,10.77899519265491,0.7789951926549108,0.4921875,1.1132888203162368,41.014904844839634,31.014904844839634,0.55,1.5413406585198448
forward,ETHUSDT,placebo_03,sc_consensus_flow,dir_bps_d30_h480,101,17,2.8333333333333335,-0.5087193881351684,-10.508719388135168,0.49504950495049505,0.9946200417060803,-82.81658465881955,-92.81658465881955,0.4117647058823529,0.4197335625474643
forward,ETHUSDT,placebo_03,sc_extreme_burst,dir_bps_d30_h480,94,18,3.0,-9.429984197198154,-19.429984197198152,0.425531914893617,0.9080769050068981,5.512056021659902,-4.487943978340098,0.5,1.0606989569320813
forward,ETHUSDT,placebo_03,sc_nonfunding_abs50,dir_bps_d30_h480,186,19,3.1666666666666665,1.3434721790436273,-8.656527820956374,0.4838709677419355,1.0135219365927248,-61.00083542616999,-71.00083542617,0.47368421052631576,0.5259212825661835
forward,ETHUSDT,placebo_03,sc_nonfunding_extreme,dir_bps_d30_h480,94,18,3.0,-9.429984197198154,-19.429984197198152,0.425531914893617,0.9080769050068981,5.512056021659902,-4.487943978340098,0.5,1.0606989569320813
forward,ETHUSDT,placebo_03,sc_persistent_flow,dir_bps_d30_h480,97,18,3.0,-12.736712892209471,-22.73671289220947,0.4639175257731959,0.8683214711119532,-106.0333592036622,-116.0333592036622,0.2777777777777778,0.3070581996569017
forward,ETHUSDT,placebo_03,sc_reversal30,dir_bps_d30_h480,95,17,2.8333333333333335,3.7882397805297434,-6.211760219470257,0.4631578947368421,1.0380185773549753,12.408538450839615,2.4085384508396146,0.5882352941176471,1.112137078291576
forward,ETHUSDT,placebo_03,sc_reversal30_5bps,dir_bps_d30_h480,82,16,2.6666666666666665,5.643055987129052,-4.356944012870948,0.45121951219512196,1.0560400677802402,6.787778683409627,-3.212221316590373,0.625,1.0588232839377452
forward,ETHUSDT,placebo_03,sc_reversal30_full,dir_bps_d30_h480,10,8,1.3333333333333333,-100.84511551539055,-110.84511551539055,0.3,0.40941674992976,-90.86176880159941,-100.86176880159941,0.25,0.46552261479402574
forward,ETHUSDT,placebo_03,sc_reversal30_realign,dir_bps_d30_h480,39,14,2.3333333333333335,36.179842271877895,26.179842271877895,0.5384615384615384,1.3456188992730973,-28.661877728219007,-38.66187772821901,0.35714285714285715,0.7847067989778743
forward,ETHUSDT,placebo_03,sc_reversal30_realign_burst,dir_bps_d30_h480,16,10,1.6666666666666667,6.5339871949049275,-3.4660128050950725,0.5,1.059870557524037,-1.9177402539065844,-11.917740253906585,0.5,0.9828219266431402
forward,ETHUSDT,placebo_03,sc_reversal30_realign_price,dir_bps_d30_h480,22,13,2.1666666666666665,5.518624051283435,-4.481375948716565,0.45454545454545453,1.050301289581376,-10.888559026662127,-20.88855902666213,0.38461538461538464,0.914750211041741
forward,ETHUSDT,placebo_03,sc_abs50,dir_bps_d30_h720,186,14,2.3333333333333335,-19.35069863867355,-29.35069863867355,0.45698924731182794,0.8616514551381306,29.103581885489128,19.103581885489128,0.5714285714285714,1.2849948214225981
forward,ETHUSDT,placebo_03,sc_abs75,dir_bps_d30_h720,47,10,1.6666666666666667,-16.622318947753868,-26.622318947753868,0.48936170212765956,0.8809397098481956,-57.13298240517712,-67.13298240517712,0.5,0.6562743456419448
forward,ETHUSDT,placebo_03,sc_absorbed_1m,dir_bps_d30_h720,67,12,2.0,-32.10344497360484,-42.10344497360484,0.44776119402985076,0.7871528598261115,34.54456883500124,24.544568835001243,0.5,1.2829208151331428
forward,ETHUSDT,placebo_03,sc_aligned_1m,dir_bps_d30_h720,119,12,2.0,-12.17058095430048,-22.17058095430048,0.46218487394957986,0.908970114487111,60.73548585634412,50.73548585634412,0.4166666666666667,1.5292111164164557
forward,ETHUSDT,placebo_03,sc_all,dir_bps_d30_h720,576,14,2.3333333333333335,-6.631661137987551,-16.63166113798755,0.4791666666666667,0.9498596381157782,-55.256182962446005,-65.256182962446,0.42857142857142855,0.6002995192587804
