group,policy,horizon_min,count,mean,median,win_rate,profit_factor,gross_profit,gross_loss,q10,q90,best,worst,top1_positive_share,top2_positive_share,mean_without_best,mean_without_worst
asset:SOLUSDT,delayed_continuation,120,47,-0.0024114123479859494,-0.000195841854124,0.48936170212765956,0.6920420661477921,0.25468914487672284,0.3680255252320624,-0.021131801544881576,0.017600802492526497,0.0445344941956882,-0.0666202016357775,0.17485823440666948,0.29404807560585283,-0.003431975533717996,-0.001015569102599176
asset:SOLUSDT,delayed_continuation,240,47,0.0020334713801626256,-0.0023641986770338,0.46808510638297873,1.238961740945982,0.49552485629606596,0.3999517014284225,-0.025176019192458217,0.02831949077796082,0.0813023040398536,-0.0508440690502007,0.16407310956622756,0.261348248999299,0.00031023588756064863,0.003182983128648785
asset:SOLUSDT,delayed_continuation,480,47,-0.001941430756187418,-0.0021159205412408,0.425531914893617,0.866931162635037,0.5944673616331315,0.6857146071739401,-0.042390495828543456,0.04276399256849704,0.1047458392502129,-0.1160022971255412,0.17620116092236457,0.31737105676296884,-0.004260719234587424,0.0005381532953202732
asset:SOLUSDT,delayed_continuation,720,47,0.0005861471353904075,0.0041606060606061,0.5531914893617021,1.029929248523583,0.9480169097950075,0.9204679944316584,-0.056518911642476743,0.057581431601398315,0.214932504145937,-0.1853410587873192,0.22671800674147521,0.35403403412997264,-0.0040735562778823455,0.0046280429163188756
asset:SOLUSDT,delayed_reversal,120,47,-0.0013885876520140434,-0.0036041581458759,0.40425531914893614,0.8130919623569524,0.28391141032007006,0.3491750299647301,-0.0214008024925265,0.017331801544881575,0.0628202016357775,-0.0483344941956882,0.2212669140875902,0.39638563719191605,-0.0027844308974008165,-0.000368024466281996
asset:SOLUSDT,delayed_reversal,240,47,-0.0058334713801626165,-0.0014358013229661,0.44680851063829785,0.5318505204389703,0.31147986161061364,0.5856530164782566,-0.03211949077796082,0.02137601919245821,0.0470440690502007,-0.0851023040398536,0.15103406302719918,0.2774238700098662,-0.006982983128648778,-0.004110235887560639
asset:SOLUSDT,delayed_reversal,480,47,-0.0018585692438125715,-0.0016840794587591,0.44680851063829785,0.8720114153805265,0.5951515072990108,0.6825042617582017,-0.046563992568497053,0.03859049582854346,0.1122022971255412,-0.1085458392502129,0.18852728380837236,0.33686194020094273,-0.00433815329532026,0.00046071923458743656
asset:SOLUSDT,delayed_reversal,720,47,-0.004386147135390405,-0.0079606060606061,0.425531914893617,0.8035800760171992,0.8433826758483464,1.0495315912116956,-0.06138143160139832,0.05271891164247674,0.1815410587873192,-0.218732504145937,0.21525348336650343,0.36709134031163726,-0.008428042916318873,0.00027355627788234717
asset:XRPUSDT,direct_continuation,120,55,0.006042829859520626,0.0005797607760193,0.5454545454545454,2.1678586476714714,0.6169411466377974,0.28458550436416274,-0.0185707128062602,0.025188513338579886,0.1729920998311127,-0.0355267605633802,0.28040292137083755,0.4178941847313423,0.0029511767118985534,0.006812637089574346
asset:XRPUSDT,direct_continuation,240,55,0.003303082584452116,-0.0004920711374582,0.4727272727272727,1.5125784860006248,0.5360924200193093,0.354422877874443,-0.0190290557596403,0.024140370913206945,0.1242024582473258,-0.0468999999999999,0.23168105649181198,0.34263407867156126,0.0010642052573618626,0.0042327692989790056
asset:XRPUSDT,direct_continuation,480,55,0.006127913297410425,0.0026941807044411,0.5636363636363636,1.8185469900761553,0.7487834088522053,0.41174817749463183,-0.023417780195121137,0.03520510646126115,0.1446565772189902,-0.0622702709954387,0.19318881202340113,0.37260100829299686,0.0035625676692330197,0.007394546339870594
asset:XRPUSDT,direct_continuation,720,55,0.007085275810503537,0.0021937002501705,0.5272727272727272,1.698651721845979,0.9474647479442297,0.5577745783665351,-0.03611333904979758,0.04096323570741176,0.1347109964346029,-0.085350704225352,0.14218048399889635,0.27291508243796714,0.004721836539686882,0.008797053218574937
asset:XRPUSDT,delayed_continuation,120,55,0.0022462499657430516,-0.0018270286047868,0.43636363636363634,1.3844898339251783,0.4448623818353476,0.32131863371947966,-0.01529624019765814,0.013141344953085284,0.1403867513611614,-0.0351781456953643,0.31557343819896494,0.47045897061497005,-0.000311907467505436,0.0029392943298376323
