group,horizon_min,count,mean,median,win_rate,profit_factor,gross_profit,gross_loss,q10,q90,best,worst,top1_positive_share,top2_positive_share,mean_without_best,mean_without_worst
side:-1,720,22,0.015447312488699554,-0.0036834617855074003,0.4090909090909091,2.307021197505469,0.5998526292661581,0.260011754514768,-0.031184569429537064,0.08150978443595285,0.2145204733434317,-0.059372903593839,0.3576219605903364,0.559600121976643,0.005967638162283738,0.019010179921201388
side:-1,1440,22,0.02690686175494544,0.0149660526927244,0.6818181818181818,2.907429017055253,0.9022906636860937,0.3103397050772939,-0.03375168038327953,0.09134110940313873,0.2145204733434317,-0.1327278461413088,0.2377509620536905,0.3720282365928748,0.01797288025073181,0.03450851451190993
side:1,60,27,0.0020098064528208887,-0.0027280104092738,0.4444444444444444,1.4330069123472622,0.17958557784106072,0.1253208036148967,-0.01350642298427552,0.010992422825771411,0.0867974435808596,-0.0215460916817611,0.48332079125907457,0.7458189577204702,-0.0012512565136421384,0.002915802534920196
side:1,120,27,-0.0008887591595422552,-0.0010884763643741,0.48148148148148145,0.8138976801892533,0.10494599697208482,0.1289424942797257,-0.01309519705994508,0.013462848287218075,0.0314239988798654,-0.0250692509803139,0.2994301811075657,0.5410678023249177,-0.002131557545673319,4.125975664126966e-05
side:1,240,27,0.0032153003532892823,0.000331689997971,0.5555555555555556,1.5351275983751806,0.2490419121690676,0.162228802630257,-0.02419503613142898,0.02868085950131665,0.0653777759191731,-0.034743010410239,0.26251716166871525,0.5157307462665768,0.0008244359084475968,0.004675235382655753
side:1,480,27,0.007294311806799826,-0.0005829589522205,0.4074074074074074,2.2636349775210673,0.3528034679212778,0.1558570491376825,-0.02397741888045432,0.049593614425887125,0.0697009862591167,-0.0371255448555499,0.19756321180683326,0.3749161637407981,0.0048940550970953305,0.009002767832274815
side:1,720,27,0.005364871033987144,0.0028508837488792,0.5555555555555556,1.534613115960624,0.41579795299973143,0.2709464350820785,-0.02785014149962604,0.05420431860872013,0.0770344140854626,-0.0755081530285236,0.18526886322961855,0.3639689839042703,0.0026083501473919343,0.008475371959468328
side:1,1440,27,0.0020394520440003526,-0.0069755527542336,0.48148148148148145,1.1075818205270926,0.5669100960647392,0.5118448908767296,-0.03476094164382378,0.07539565226058016,0.0835714464857979,-0.1297502535015317,0.1474156961851925,0.28605487296405646,-0.0010963938960687847,0.00710828687267466
asset_entry:BTCUSDT:False,60,7,0.011705345146015372,0.0089021941349334,1.0,,0.0819374160221076,-0.0,0.0025730622421795803,0.022964632277720425,0.0303809019125108,0.0012635501124132,0.3707817916092656,0.5907112621252919,0.008592752351599467,0.0134456443182824
asset_entry:BTCUSDT:False,120,7,0.006694761180279429,0.0045959837389302,1.0,,0.046863328261956,-0.0,0.00101367763833018,0.01578432598028218,0.0160514816705197,0.0008617075745277,0.3425168946771204,0.6755325545883211,0.0051353077652393836,0.00766693678123805
asset_entry:BTCUSDT:False,240,7,0.0013544285390754856,0.0063012790104183,0.7142857142857143,1.321987709557127,0.0389262223460573,0.0294452225725289,-0.01338930966147188,0.010296324427023683,0.0135289287554147,-0.0213891194102273,0.34755308735436535,0.5566988606684717,-0.0006746548303143834,0.005145019863959283
asset_entry:BTCUSDT:False,480,7,0.002068616178654702,-0.000518774116792,0.42857142857142855,1.2338441013940438,0.07640324893405591,0.061922935683473,-0.024990601303479174,0.030516908122709224,0.0697009862591167,-0.0461282403098448,0.9122777791724019,0.9697909010148624,-0.009203445501422299,0.010101425593404616
asset_entry:BTCUSDT:False,720,7,-0.009619121723450056,-0.0084220538126364,0.42857142857142855,0.39777318937706085,0.0444742754991189,0.1118081275632693,-0.044500904354887495,0.018761817681799832,0.0360673656911612,-0.059372903593839,0.810971405073833,0.9734200474514257,-0.01723353629255193,-0.0013268247450518992
asset_entry:BTCUSDT:False,1440,7,-0.01887706400871193,-0.0069755527542336,0.42857142857142855,0.29203928545991287,0.0545085471555665,0.18664799521655,-0.07133263063822735,0.02108608653640323,0.0360673656911612,-0.1327278461413088,0.6616827557011478,0.8652942566318691,-0.028034468958690786,9.806634672088314e-05
asset_entry:BTCUSDT:True,60,2,0.0031514298152018,0.0031514298152018,1.0,,0.0063028596304036,-0.0,0.00265005469224348,0.00365280493816012,0.0037781487188997,0.0025247109115039,0.5994340569913292,1.0,0.0025247109115039,0.0037781487188997
asset_entry:BTCUSDT:True,120,2,0.0021355242839441,0.0021355242839441,1.0,,0.0042710485678882,-0.0,0.0006654035324422599,0.0036056450354459402,0.0039731752233214,0.0002978733445668,0.9302575609169244,1.0,0.0002978733445668,0.0039731752233214
asset_entry:BTCUSDT:True,240,2,0.00166928733220615,0.00166928733220615,1.0,,0.0033385746644123,-0.0,0.00160123792513227,0.0017373367392800301,0.0017543490910485,0.0015842255733638,0.5254784653310498,1.0,0.0015842255733638,0.0017543490910485
asset_entry:BTCUSDT:True,480,2,0.00257831885635465,0.00257831885635465,0.5,6.172165727464809,0.0061536354858717,0.0009969977731624,-0.0002819344472589901,0.00543857215996829,0.0061536354858717,-0.0009969977731624,1.0,1.0,-0.0009969977731624,0.0061536354858717
asset_entry:BTCUSDT:True,720,2,-0.008385021118949149,-0.008385021118949149,0.5,0.19821421968771763,0.0041458216370717,0.02091586387497,-0.01840969532376583,0.0016396530858675306,0.0041458216370717,-0.02091586387497,1.0,1.0,-0.02091586387497,0.0041458216370717
asset_entry:BTCUSDT:True,1440,2,-0.0341336597762357,-0.0341336597762357,0.0,0.0,0.0,0.0682673195524714,-0.03514552577793306,-0.03312179377453834,-0.032868827274114,-0.0353984922783574,,,-0.0353984922783574,-0.032868827274114
asset_entry:ETHUSDT:False,60,7,0.005705903218744386,0.0008697840037932,0.5714285714285714,2.258261844142815,0.0716845743171063,0.0317432517858956,-0.01381094195692118,0.028029426241603095,0.0471408849061887,-0.0177457505163452,0.6576154682547837,0.8708894388989488,-0.0011999270624963336,0.00961451217459265
asset_entry:ETHUSDT:False,120,7,0.0003442099644189286,0.0001874745296952,0.5714285714285714,1.0506870472037195,0.049945672466558,0.0475362027156255,-0.01639352012130084,0.023197535247123986,0.0314239988798654,-0.0177332384098416,0.6291635957230507,0.9838134639471677,-0.004835754854822149,0.0033571180267956834
asset_entry:ETHUSDT:False,240,7,0.00561135881110377,1.292409383303909e-06,0.5714285714285714,1.5328253728322179,0.1129988082437613,0.0737192965660349,-0.03407339857990217,0.041180768966995296,0.0630607952954354,-0.0477641104500543,0.5580660210097128,0.793414385840839,-0.003963547269618165,0.014507270354630114
asset_entry:ETHUSDT:False,480,7,0.012640088281658345,-0.0001160713195908,0.42857142857142855,3.6985382543769245,0.12126896841581511,0.0327883504442067,-0.01368538352030826,0.05485204550442635,0.0625707364883785,-0.0207867486804018,0.5159665931504571,0.9258509367253839,0.004318313580538317,0.018211227775335032
asset_entry:ETHUSDT:False,720,7,0.005203672608320414,-0.0069224014057738,0.42857142857142855,1.4234432471363685,0.122448353570407,0.08602264531216411,-0.030682399550149363,0.05689785301745165,0.0743031443773252,-0.0312850034054146,0.6068121147468216,0.9767176636863479,-0.00631290601984705,0.011285118610609582
asset_entry:ETHUSDT:False,1440,7,0.029502475177853513,0.012325983138191,0.7142857142857143,4.394241644210428,0.2673607628333012,0.060843436588326597,-0.02942500212499086,0.0839538195676527,0.0919906253800686,-0.0354052991400255,0.344069280792053,0.63803892762107,0.019087783477484334,0.040320437564166686
asset_entry:ETHUSDT:True,60,5,0.031059729253194217,0.0078576329870947,0.6,9.988023735032993,0.1725770437028467,0.0172783974368756,-0.00872584640815738,0.09426102619709235,0.1418663095539577,-0.0090724371670357,0.8220462380745811,0.9544688400119751,0.0033580841780033502,0.0410927708582517
asset_entry:ETHUSDT:True,120,5,0.01663021153761244,-0.0041379603399433,0.4,5.458736406387612,0.1018000761788031,0.0186490184907409,-0.00741598113654898,0.057875622460158246,0.085777959943185,-0.0080577893811497,0.8426119425738284,1.0,-0.0006567255637806996,0.022802211767302974
asset_entry:ETHUSDT:True,240,5,-0.0026382572745872602,0.0017669814290211,0.6,0.38386284004237536,0.008218372433949399,0.021409658806885702,-0.01083769864899156,0.0034073052043539203,0.004133744011913,-0.0113691756311864,0.5029881579516712,0.7849961846798462,-0.004331257596212326,-0.00045552768543747507
asset_entry:ETHUSDT:True,480,5,0.01156750971592812,-0.0050916902738431,0.4,3.8357486770873663,0.0782334140690486,0.020395865489408,-0.00786201832859758,0.03980631623008656,0.0425647530123356,-0.0087017412118581,0.5440738272621986,1.0,0.00381819889182625,0.016634822447874675
asset_entry:ETHUSDT:True,720,5,0.05726853138026596,0.0174012275731823,0.6,10.214712005020658,0.3174171665273838,0.031074509626054,-0.0164002110342193,0.16291047025036692,0.2145204733434317,-0.0198520359189885,0.6758313537050772,0.9451786815327107,0.017955545889474525,0.07654867320507958
asset_entry:ETHUSDT:True,1440,5,0.04754873434728024,0.0013326093799182,0.6,4.737821444730687,0.30134854833411967,0.06360487659771849,-0.03206451568445228,0.16291047025036692,0.2145204733434317,-0.0331128252268244,0.7118682818593919,0.995577847023704,0.005805799598242376,0.0677141242408064
asset_entry:SOLUSDT:False,60,7,0.008724356570615158,-0.0015905961405232,0.42857142857142855,3.021739604386719,0.0912774009101503,0.030206904915844202,-0.011223760683276098,0.037053632469163725,0.0867974435808596,-0.0215460916817611,0.9509193153549521,0.993548615589556,-0.004287824597758917,0.013769431279344532
asset_entry:SOLUSDT:False,120,7,-0.0020966627210354714,-0.0019,0.42857142857142855,0.6058245682798551,0.0225571352222459,0.0372337742694942,-0.013722703940741538,0.01065080297998262,0.0106831128905411,-0.0250692509803139,0.47360237837318053,0.9448174921225407,-0.0042266253229649,0.0017321019888442667
asset_entry:SOLUSDT:False,240,7,0.011087937929849285,0.002946738276133,0.5714285714285714,2.9281615540777692,0.1178692285616077,0.0402536630526627,-0.015637761824780477,0.04523772334641253,0.0653777759191731,-0.034743010410239,0.5546636447612071,0.824547668093148,0.0020396315982953166,0.018726429319864
asset_entry:SOLUSDT:False,480,7,0.01693925788898833,0.0027471723743476,0.5714285714285714,4.875861614076685,0.149167952509774,0.0305931472868557,-0.011708657712805458,0.04959361442588712,0.0521125479913848,-0.0232778140488464,0.3493548521286448,0.6705654377541497,0.01107704287192225,0.023642103211960783
asset_entry:SOLUSDT:False,720,7,0.0011819292504415318,-0.0039018588689496,0.42857142857142855,1.0676359712172485,0.1305975374267102,0.1223240326736195,-0.04594013357773595,0.05819695795174469,0.0770344140854626,-0.0755081530285236,0.5898611536124363,0.9393214479017622,-0.011460151555395315,0.013963609630269052
asset_entry:SOLUSDT:False,1440,7,0.01148342123650736,0.0188335382855509,0.7142857142857143,1.4960439172397004,0.2424340128975611,0.16205006424200957,-0.0712799878448994,0.07964922704559672,0.0835714464857979,-0.1297502535015317,0.3447183235015396,0.6624724750941752,-0.0005312496383743983,0.035022367026180536
asset_entry:SOLUSDT:True,60,5,0.01086908454217504,0.0141277658620284,0.6,8.420025859568714,0.061669578143675005,0.0073241554327998,-0.0043710524633643,0.02534978262858168,0.0316652885796152,-0.0072069514512219,0.513466923769818,0.7709119100974848,0.005670033532815,0.015388093540524277
asset_entry:SOLUSDT:True,120,5,0.00743494530203964,0.0060006772009029,0.6,3.038473588409156,0.0554112769965892,0.018236550486391,-0.0095267471692506,0.024836020131198122,0.025358901064618,-0.011160634873471,0.4576487393744589,0.8917065708254248,0.00295395636139505,0.0120838403459173
asset_entry:SOLUSDT:True,240,5,0.004465050459465238,0.0011290626279165,0.6,1.4909510936968637,0.06779872732152249,0.045473475024196304,-0.02501716894297222,0.03588154533568164,0.0460683972911962,-0.0341388946664685,0.6794876410102161,0.9833468462827903,-0.005935786248467501,0.014116036740948672
asset_entry:SOLUSDT:True,480,5,0.00845037323473272,0.01308158002456,0.6,1.800127689430729,0.0950582703661304,0.052806404192466794,-0.026678477289906837,0.0420039374555066,0.0460663065943922,-0.0277795780646006,0.4846112433664245,0.8623835677403509,-0.0009536101051821496,0.01750786105956605
asset_entry:SOLUSDT:True,720,5,0.03334107524202814,0.0426823927765236,0.6,3.7537582087871635,0.22724278130191258,0.0605374050917719,-0.03429139149246078,0.09805558164253968,0.1211571311619204,-0.0503821472787601,0.5331616276996372,0.812172723234644,0.011387061262055072,0.054271880872225196
asset_entry:SOLUSDT:True,1440,5,0.046264152261858996,0.0634032573634686,0.8,7.737883208451807,0.2656521312889843,0.0343313699796893,-0.0171989646114951,0.10173111842627189,0.1211571311619204,-0.0343313699796893,0.4560743803335877,0.7293343725292883,0.02754090753684365,0.06641303282224607
asset_entry:XRPUSDT:False,60,11,-0.0026747697006285595,-0.0047535889368551,0.36363636363636365,0.4650959882248018,0.025582667035248554,0.055005133742162704,-0.0072625377643504,0.0031198150594451,0.0207748654880859,-0.0211600101368474,0.8120680091509489,0.9340183537005038,-0.005019733219500005,-0.0008262456570066751
asset_entry:XRPUSDT:False,120,11,-0.004783171150374018,-0.0055584473549426,0.18181818181818182,0.290220957048782,0.0215136552009128,0.074128537855027,-0.0157992305783072,0.0043513954007592,0.0171622598001536,-0.0172236459709379,0.7977379780366389,1.0,-0.006977714245426781,-0.0035391236683176308
asset_entry:XRPUSDT:False,240,11,0.001166647390820818,-0.0010951415819126,0.36363636363636365,1.2967465196992771,0.0560791931048048,0.043246071805775804,-0.0077124174372522,0.0177969118601366,0.0311514988470407,-0.0236942219969589,0.5554912102394653,0.8728444187080048,-0.00183183775480117,0.0036527343295987896
asset_entry:XRPUSDT:False,480,11,-0.003910550377861727,-0.0005829589522205,0.45454545454545453,0.5620547602967672,0.0552063952658008,0.09822244942227978,-0.0371255448555499,0.0200286657859973,0.0200373219373218,-0.04809523443505,0.36295291226403437,0.7257490283582984,-0.00630533760938008,0.000507918027857101
asset_entry:XRPUSDT:False,720,11,0.0002100689041729273,-0.0026552870090634,0.45454545454545453,1.0263815827124319,0.08990057282131131,0.08758981487540911,-0.0275725595695619,0.0280145299145298,0.0480716927722211,-0.0302831728332488,0.5347206504208781,0.8463374625874946,-0.004576093482631891,0.0032593930779151
asset_entry:XRPUSDT:False,1440,11,0.0014080785239398265,-0.0045874496103197,0.45454545454545453,1.0759739262960974,0.21935964573362157,0.20387078197028352,-0.0563565925711388,0.0551614570614572,0.0597646398987887,-0.0876801691006918,0.2724504760158285,0.5239163136678562,-0.0044275776135450605,0.010316903286402989
asset_entry:XRPUSDT:True,60,5,-0.0033564432793875996,-0.0016119400835373,0.2,0.06494403794620464,0.0011656039239729,0.0179478203209109,-0.008628865321864038,0.0006578346553858601,0.0011656039239729,-0.0106802046295624,1.0,1.0,-0.004486955080227725,-0.0015255029418439
asset_entry:XRPUSDT:True,120,5,-0.00099147541846782,-0.0010884763643741,0.4,0.5338314145888231,0.0056769239898895995,0.0106343010822287,-0.00546093782560786,0.0029277852952213,0.0032850784963273,-0.0082130396923301,0.5786722707892352,1.0,-0.0020606138971666,0.00081391564999775
asset_entry:XRPUSDT:True,240,5,0.0016368220151052998,0.0003688598979014,0.8,2.0236089024878305,0.016179458743983202,0.0079953486684567,-0.0046645332018856196,0.007827982954482681,0.0081820970761918,-0.0079953486684567,0.5057089489618772,0.9567012774062715,5.032498336748036e-07,0.0040448646859958005
asset_entry:XRPUSDT:True,480,5,0.01017157026539004,0.0067027604462092,0.6,11.695288410965205,0.055613015411614695,0.0047551640846645,-0.00264725126989744,0.02601018005687546,0.0322303903535663,-0.0037259281801582,0.5795476133602177,0.8794749682857633,0.004656865243345975,0.0136459448767771
asset_entry:XRPUSDT:True,720,5,0.0137476565804771,0.0169023707337012,0.6,7.432681081518248,0.0794240734819741,0.0106857905795886,-0.00595891067312866,0.03283838871849396,0.039148538095924,-0.0084229722064661,0.4929051908274267,0.787188317185251,0.007397436201615375,0.0192903137772129
asset_entry:XRPUSDT:True,1440,5,0.01519367194014076,0.0171067443286325,0.6,2.7846038813911593,0.1185371115076784,0.0425687518069746,-0.0226465980306775,0.056183587376957764,0.078057202526697,-0.0280954865394383,0.6585043412470932,0.8556844847065099,-0.0005222107064983003,0.026015961560035522
split_entry:post_publication:False,60,7,-0.0025629559398882003,-0.0027280104092738,0.42857142857142855,0.13174340794703807,0.0027221997174640003,0.0206628912966814,-0.00645626761746142,0.0010272904472412002,0.0012635501124132,-0.0072625377643504,0.46416510306243164,0.7836802357006388,-0.0032007069486051,-0.0017796923024778332
