run_id,scenario_id,ts_event_ns,client_order_id,order_side,last_price,last_quantity,native_commission,extra_cost_to_composite_model,composite_cost_rate
baseline:development-2023,DEPTH-1681902660000000000-9032,1681903020000000000,O-20230419-111700-09-000-136,1,29279.3,16.401,86.43776387,273.71958560499996,0.00075
baseline:development-2023,DEPTH-1681902660000000000-9032,1681903260000000000,O-20230419-111700-09-000-137,2,29259.9,16.401,86.38049158,273.538223345,0.00075
baseline:development-2023,DEPTH-1681960680000000000-9094,1681960920000000000,O-20230420-032200-09-000-139,1,28817.0,17.726,91.94582556,291.16178093999997,0.00075
baseline:development-2023,DEPTH-1681960680000000000-9094,1681961280000000000,O-20230420-032200-09-000-140,2,28803.4,17.726,91.90243231,291.02436898999997,0.00075
baseline:development-2023,DEPTH-1681994400000000000-9131,1681994580000000000,O-20230420-124300-09-000-142,1,28834.3,9.007,46.74789722,148.03500785499998,0.00075
baseline:development-2023,DEPTH-1681994400000000000-9131,1681996740000000000,O-20230420-124300-09-000-143,2,28769.0,9.007,46.64202894,147.69975831,0.00075
baseline:development-2023,DEPTH-1682079480000000000-9226,1682079840000000000,O-20230421-122400-09-000-145,1,28132.5,13.602,68.8784877,218.11521105,0.00075
baseline:development-2023,DEPTH-1682079480000000000-9226,1682083980000000000,O-20230421-122400-09-000-147,2,28261.2,13.602,76.88176848,211.42486332000001,0.00075
baseline:development-2023,DEPTH-1682490180000000000-9677,1682490540000000000,O-20230426-062900-09-000-148,2,28365.0,18.429,94.0929453,297.96099345,0.00075
baseline:development-2023,DEPTH-1682490180000000000-9677,1682491680000000000,O-20230426-062900-09-000-149,1,28375.8,18.429,94.12877128,298.07444237,0.00075
baseline:development-2023,DEPTH-1682537580000000000-9731,1682537700000000000,O-20230426-193500-09-000-151,2,28832.0,3.959,20.54625984,65.06315616,0.00075
baseline:development-2023,DEPTH-1682537580000000000-9731,1682538000000000000,O-20230426-193500-09-000-153,1,28443.0,3.959,22.5211674,61.93321035,0.00075
baseline:development-2023,DEPTH-1682538480000000000-9733,1682538840000000000,O-20230426-195400-09-000-154,2,28070.9,6.97,35.21775114,111.52287861,0.00075
baseline:development-2023,DEPTH-1682538480000000000-9733,1682538900000000000,O-20230426-195400-09-000-155,1,28171.4,6.97,35.34383844,111.92215506,0.00075
baseline:development-2023,DEPTH-1682541720000000000-9736,1682541900000000000,O-20230426-204500-09-000-157,1,28082.5,6.252,31.6029222,100.0759203,0.00075
baseline:development-2023,DEPTH-1682541720000000000-9736,1682542020000000000,O-20230426-204500-09-000-158,2,27970.2,6.252,31.47654427,99.67572353,0.00075
baseline:development-2023,DEPTH-1682694480000000000-9895,1682694840000000000,O-20230428-151400-09-000-160,2,28995.7,12.853,67.08271178,212.42858729500003,0.00075
baseline:development-2023,DEPTH-1682694480000000000-9895,1682695020000000000,O-20230428-151400-09-000-161,1,29025.0,12.853,67.1504985,212.64324525,0.00075
baseline:development-2023,DEPTH-1682905800000000000-10122,1682905860000000000,O-20230501-015100-09-000-163,1,28628.0,8.607,44.35221528,140.44868171999997,0.00075
baseline:development-2023,DEPTH-1682905800000000000-10122,1682905920000000000,O-20230501-015100-09-000-164,2,28565.4,8.607,44.2552316,140.14156675,0.00075
baseline:development-2023,DEPTH-1683122040000000000-10346,1683122400000000000,O-20230503-140000-09-000-166,1,28359.1,14.351,73.25665994,231.979423135,0.00075
baseline:development-2023,DEPTH-1683122040000000000-10346,1683122460000000000,O-20230503-140000-09-000-167,2,28340.3,14.351,73.20809615,231.82563782500003,0.00075
baseline:development-2023,DEPTH-1683338880000000000-10572,1683339120000000000,O-20230506-021200-09-000-169,2,29471.2,14.253,75.60954245,239.43021775,0.00075
baseline:development-2023,DEPTH-1683338880000000000-10572,1683340440000000000,O-20230506-021200-09-000-170,1,29486.9,14.253,75.64982143,239.55776784499997,0.00075
baseline:development-2023,DEPTH-1683524160000000000-10767,1683524340000000000,O-20230508-053900-09-000-172,1,28205.1,15.707,79.74315103,252.51997824499998,0.00075
baseline:development-2023,DEPTH-1683524160000000000-10767,1683526140000000000,O-20230508-053900-09-000-173,2,28194.6,15.707,79.7134648,252.42597185000002,0.00075
baseline:development-2023,DEPTH-1684432260000000000-11722,1684432620000000000,O-20230518-175700-09-000-175,2,26455.0,4.191,19.9571229,63.19755584999999,0.00075
baseline:development-2023,DEPTH-1684432260000000000-11722,1684434300000000000,O-20230518-175700-09-000-176,1,26607.0,4.191,20.07178866,63.56066408999999,0.00075
baseline:development-2023,DEPTH-1684510500000000000-11806,1684510740000000000,O-20230519-153900-09-000-178,2,26761.1,5.716,27.53396057,87.19087513,0.00075
baseline:development-2023,DEPTH-1684510500000000000-11806,1684511040000000000,O-20230519-153900-09-000-179,1,26857.3,5.716,27.63293882,87.50430628000002,0.00075
baseline:development-2023,DEPTH-1685274240000000000-12609,1685274540000000000,O-20230528-114900-09-000-181,2,27159.2,14.323,70.02021989,221.73069631000004,0.00075
baseline:development-2023,DEPTH-1685274240000000000-12609,1685274720000000000,O-20230528-114900-09-000-182,1,27171.3,14.323,70.05141538,221.82948204500002,0.00075
baseline:development-2023,DEPTH-1685311980000000000-12649,1685312340000000000,O-20230528-221900-09-000-184,1,28077.2,5.442,27.50330203,87.09378977000001,0.00075
baseline:development-2023,DEPTH-1685311980000000000-12649,1685318100000000000,O-20230528-235500-09-000-187,2,28092.0,5.442,27.51779952,87.13969848,0.00075
baseline:development-2023,DEPTH-1686372180000000000-13730,1686372360000000000,O-20230610-044600-09-000-188,1,25785.6,5.608,26.02901606,82.42521753999999,0.00075
baseline:development-2023,DEPTH-1686372180000000000-13730,1686373260000000000,O-20230610-044600-09-000-189,2,25694.2,5.608,25.93675325,82.13305195000001,0.00075
baseline:development-2023,DEPTH-1686417780000000000-13784,1686418080000000000,O-20230610-172800-09-000-191,1,25829.0,7.61,35.3805642,112.0384533,0.00075
baseline:development-2023,DEPTH-1686417780000000000-13784,1686421380000000000,O-20230610-172800-09-000-192,2,25774.8,7.61,35.30632104,111.80334995999999,0.00075
baseline:development-2023,DEPTH-1687288500000000000-14727,1687288740000000000,O-20230620-191900-09-000-194,2,27856.3,7.086,35.53015352,112.51215282999999,0.00075
