plan_id,causal_event_id,symbol,side,observed_time_ns,interaction_time_ns,entry,stop,target,gross_rr,source_level,source_scale,source_id,target_kind,zone_low,zone_high,departure_high,departure_low,family,rejection,scale,higher_direction,context_location,impulse_progress,impulse_efficiency,impulse_pressure,return_depth,return_pressure,return_effort,response_progress,response_pressure,peer_progress,source_penetration,source_distance,risk_range,cost_r,planned_rr,label_closed,label_net_r,label_win,label_target,label_hold,label_ambiguous,month,forecast,utility
ETHUSDT:CONTROL:15:1724688000000000000:1:1724692080000000000,ETHUSDT:CONTROL:15:1724688000000000000:1,ETHUSDT,-1,1724692080000000000,1724690820000000000,2728.16,2731.36,2722.51,1.7656249999997358,2729.22,15,15:1724688000000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,2727.01,2729.41,2729.4,2722.5,REJECTED_CONTROL_RETURN,1.0,0.0,1.0,-0.6179640718562767,0.3443328550932685,0.33333333333337545,0.11606772669697883,0.6388261851015545,-0.39302522754818103,0.4337815593593866,0.15351506456243322,-0.2306756874454622,-0.5695187165775748,0.30559540889527986,0.15208034433284667,0.4591104734577131,1.0236599999999128,1.7656249999997358,1724692320000000000,0.5139992614684785,1,1,4.0,False,2024-08,0.3632366739165521,-0.013836950370394237
BTCUSDT:CONTROL:60:1724666400000000000:-1:1724694480000000000,BTCUSDT:CONTROL:60:1724666400000000000:-1,BTCUSDT,1,1724694480000000000,1724685360000000000,63226.2,63031.9,63859.1,3.257334019557466,63074.5,60,60:1724666400000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,63234.7,63235.2,63859.2,63206.7,REJECTED_CONTROL_RETURN,1.0,0.0,-1.0,-0.9237197994225844,1.2312799704905781,1.0011997600480167,-0.013378637142670157,0.7651396107820662,-0.03577551953568073,3.217201411111326,0.043526374031678736,0.3632209980557355,-5.427215189873501,0.3135374400590121,1.1191442272223817,1.433419402434463,0.3898860524961487,3.257334019557466,1724707320000000000,-0.9771232797802398,0,0,214.0,False,2024-08,0.18297608195062331,-0.01367339395324491
XRPUSDT:CONTROL:60:1724677200000000000:-1:1724698140000000000,XRPUSDT:CONTROL:60:1724677200000000000:-1,XRPUSDT,-1,1724698140000000000,1724694000000000000,0.5843,0.5895,0.5769,1.423076923076942,0.5846,60,60:1724677200000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,0.5847,0.5886,0.5849,0.5768,ACCEPTED_CONTROL_RETURN,0.0,0.0,1.0,-0.44578313253012625,3.538461538461578,1.0,0.19024032185728115,0.590551181102365,0.007293143037318619,0.25446852422608507,0.23076923076921105,0.24701907049156377,0.12370370370368214,1.923076923077015,0.23076923076921105,4.000000000000085,0.13543846153846198,1.423076923076942,1724714040000000000,-0.9902008080218466,0,0,265.0,False,2024-08,0.2924347753245032,-0.01152358390739829
XRPUSDT:CONTROL:15:1724748300000000000:-1:1724753520000000000,XRPUSDT:CONTROL:15:1724748300000000000:-1,XRPUSDT,-1,1724753520000000000,1724751540000000000,0.5868,0.5897,0.5833,1.2068965517241141,0.5874,15,15:1724748300000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,0.5862,0.589,0.5873,0.5832,ACCEPTED_CONTROL_RETURN,0.0,1.584962500721156,-0.0,-0.1249999999999869,2.399999999999941,0.7199999999999929,0.14997236418584578,0.5538461538461483,-0.3170268024919874,5.700782366048164,0.1333333333333136,-0.006754130575242056,2.8997289972900013,2.066666666666583,0.4000000000000148,1.9333333333332692,0.24341379310344707,1.2068965517241141,1724763000000000000,-0.9839872904944004,0,0,158.0,False,2024-08,0.45605171273705597,-0.005389186327268128
BTCUSDT:CONTROL:15:1724757300000000000:-1:1724764020000000000,BTCUSDT:CONTROL:15:1724757300000000000:-1,BTCUSDT,1,1724764020000000000,1724762700000000000,62239.6,62091.4,62459.3,1.4824561403509358,62200.2,15,15:1724757300000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,62241.5,62299.3,62459.4,62223.0,REJECTED_CONTROL_RETURN,1.0,1.584962500721156,-1.0,-0.19488991573798342,0.6416295353277949,0.4658040665434148,0.0208012410114416,0.5972826086956601,-0.2386440204771377,0.9312410597728401,0.10566518141310438,0.09082570457365882,-0.17636684303350744,0.6919159770846474,0.25079567154679705,0.9433481858688635,0.5033643724696455,1.4824561403509358,1724765520000000000,0.741679195359666,1,1,25.0,False,2024-08,0.5181404968990843,-0.003274626711539842
BTCUSDT:CONTROL:15:1724763600000000000:1:1724766900000000000,BTCUSDT:CONTROL:15:1724763600000000000:1,BTCUSDT,-1,1724766900000000000,1724765520000000000,62296.4,62485.299999999996,62100.1,1.0391741662255636,62459.4,15,15:1724763600000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,62314.5,62426.2,62359.7,62100.0,REJECTED_CONTROL_RETURN,1.0,1.584962500721156,1.0,-0.019730010384231278,0.9516231699554512,0.40091177259319477,-0.004353257320154351,0.5097326758370196,-0.05825950885085328,0.9173988137219287,0.37046467218330764,0.3469628406762672,-1.1018099547511013,0.16422660725649824,1.0375556970082846,1.202418841502202,0.3963420857596734,1.0391741662255636,1724767620000000000,0.5426147478658165,1,1,12.0,False,2024-08,0.6578855223938457,0.0002025845152320016
XRPUSDT:CONTROL:60:1724662800000000000:1:1724777220000000000,XRPUSDT:CONTROL:60:1724662800000000000:1,XRPUSDT,-1,1724777220000000000,1724776200000000000,0.5984,0.6001,0.5961,1.3529411764706958,0.5995,60,60:1724662800000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,0.5988,0.5992,0.5991,0.596,REJECTED_CONTROL_RETURN,1.0,0.0,-1.0,-0.5897435897436081,0.5263157894736965,0.5263157894736812,0.13497418523872431,0.5853658536585544,-0.5148027218000553,2.280389507136034,0.31578947368418286,0.3733713650751335,1.4423428920073527,0.26315789473681905,0.5789473684210603,0.8947368421052432,0.4230000000000189,1.3529411764706958,1724779320000000000,0.734898755113114,1,1,35.0,False,2024-08,0.5597882807053078,-0.0012009493843381652
XRPUSDT:CONTROL:15:1724815800000000000:1:1724824800000000000,XRPUSDT:CONTROL:15:1724815800000000000:1,XRPUSDT,1,1724824800000000000,1724821800000000000,0.5697,0.5688,0.5744,5.222222222222195,0.5694,15,15:1724815800000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,0.5691,0.5693,0.5745,0.5691,ACCEPTED_CONTROL_RETURN,0.0,0.0,0.0,-0.39130434782609114,0.869565217391275,0.7692307692307889,0.12880407082986103,0.8421052631578937,-0.15265931109074832,1.4340720489143484,0.4347826086955892,0.29235050008557056,-1.9760837070254662,0.869565217391275,0.26086956521735355,0.7826086956521571,0.7589999999999899,5.222222222222195,1724831940000000000,-0.965263705207755,0,0,119.0,False,2024-08,0.07317572971067997,-0.022760257232651383
XRPUSDT:CONTROL:15:1724841000000000000:1:1724850600000000000,XRPUSDT:CONTROL:15:1724841000000000000:1,XRPUSDT,1,1724850600000000000,1724843520000000000,0.5797,0.5766,0.5842,1.4516129032258296,0.5796,15,15:1724841000000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,0.5772,0.5792,0.5843,0.5792,ACCEPTED_CONTROL_RETURN,0.0,1.584962500721156,0.0,-0.5862068965517333,0.8163265306122246,0.3333333333333333,-0.019955358881337436,0.5974025974026006,0.22695784785408984,1.7139169002664365,0.0816326530612134,0.599766957003855,-1.8824061510628667,1.2244897959183367,0.0408163265306067,1.2653061224489435,0.22380000000000055,1.4516129032258296,1724852400000000000,-0.9849497384305633,0,0,30.0,False,2024-08,0.27382591477599444,-0.013644899433761194
SOLUSDT:CONTROL:15:1724843700000000000:-1:1724854500000000000,SOLUSDT:CONTROL:15:1724843700000000000:-1,SOLUSDT,-1,1724854500000000000,1724852520000000000,146.375,147.051,144.798,2.33284023668643,146.5,15,15:1724843700000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,146.657,146.694,146.698,144.788,ACCEPTED_CONTROL_RETURN,0.0,0.0,1.0,-0.1869857890800315,0.6808510638297792,0.7710843373494791,-0.003017814219710309,0.7012814847547527,0.17730172679441675,1.4012605411594994,0.6063829787234195,0.3323310280311383,-3.7588110403396904,0.7952127659574543,0.3324468085106341,1.7978723404254764,0.26043727810651357,2.33284023668643,1724856420000000000,1.6848209807485797,1,1,32.0,False,2024-08,0.11551140841161713,-0.02124510132871515
BTCUSDT:CONTROL:15:1724886000000000000:1:1724892120000000000,BTCUSDT:CONTROL:15:1724886000000000000:1,BTCUSDT,-1,1724892120000000000,1724890920000000000,59102.1,59218.7,58888.799999999996,1.829331046312226,59177.9,15,15:1724886000000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,59106.9,59170.3,59156.1,58888.7,REJECTED_CONTROL_RETURN,1.0,0.0,1.0,-0.29372537132464704,0.5745422842197127,0.3418049792531144,0.11710798831700062,0.646666666666671,-0.32223025303924563,3.513215580702111,0.1996512641674046,-0.18554337703273863,0.20463320463319382,0.35483870967739173,0.6608544027899078,1.0165649520488038,0.6088548885077262,1.829331046312226,1724893740000000000,-0.9694567338056131,0,0,27.0,False,2024-08,0.6201922918551805,0.004196734119307346
BTCUSDT:CONTROL:15:1724892300000000000:-1:1724899200000000000,BTCUSDT:CONTROL:15:1724892300000000000:-1,BTCUSDT,1,1724899200000000000,1724896020000000000,58978.7,58833.9,59163.9,1.2790055248619472,58888.7,15,15:1724892300000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,58970.2,58988.6,59164.0,58908.7,REJECTED_CONTROL_RETURN,1.0,1.584962500721156,-1.0,-0.1230303030303207,0.41878797832156245,0.7764920828258359,0.1351103002823741,0.5613450469554794,-0.20750407640005014,2.874271427900706,0.19280670060764313,0.0695644266618169,-0.9000000000000111,0.17966825422892743,0.2956150435211029,0.4756117589094935,0.488173756906092,1.2790055248619472,1724900760000000000,0.6232435940567832,1,1,26.0,False,2024-08,0.4485015118372566,-0.008489868031698374
SOLUSDT:CONTROL:15:1724898600000000000:1:1724902440000000000,SOLUSDT:CONTROL:15:1724898600000000000:1,SOLUSDT,-1,1724902440000000000,1724900460000000000,143.845,144.154,143.41,1.4077669902912808,143.945,15,15:1724898600000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,143.849,144.0,143.896,143.4,REJECTED_CONTROL_RETURN,1.0,0.0,-0.0,-0.5479969765683976,0.43363994743754747,0.35331905781581896,-0.03943564605329311,0.5901856763925712,-0.23181742646651526,1.4181906737053795,0.1340341655715798,0.12878270762229807,-0.6062081558124741,0.5229960578186753,0.26281208935608713,0.8120893561103488,0.5592213592233055,1.4077669902912808,1724903400000000000,0.644958839353712,1,1,16.0,False,2024-08,0.29598967580009156,-0.01577126285591565
