source_id,symbol,source_kind,source_side,source_price,source_timeframe_minutes,source_semantic_weight,source_accumulated,source_interaction_index,source_interaction_time_ns,line_slope_atr_per_hour,branch,side,confirmation_index,confirmation_time_ns,event_extreme,zone_lower,zone_upper,location_kind,event_strength,reason,counterfactual_mfe_r,counterfactual_mae_r,episode_id,response_index,response_time_ns,diagnostic_role,diagnostic_period
BTCUSDT:ACTIVE_POOL:HIGH:1762228500000000000:59e05530eca840c1,BTCUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,107192.2,15,17.899322656022584,True,90962,1762228980000000000,0.0,FAILED_AUCTION_REVERSAL,SHORT,90966.0,1.76222922e+18,107247.8,107225.0,107228.1,ORDER_BLOCK,2.8341248302534465,NO_FIRST_DEFENDED_RETURN,31.036697247704552,-0.5127420998980624,,,,dev,2025-11-01_2025-11-08
BTCUSDT:ACTIVE_POOL:LOW:1723027500000000000:ba3e1e5efb55c71d,BTCUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,57225.6,15,14.96511354302487,True,95704,1723028700000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,95706.0,1.72302882e+18,57155.1,57211.17,57212.8,TRANSFERRED_BOUNDARY_OB_OVERLAP,3.357206837614986,NO_FIRST_DEFENDED_RETURN,30.674750635636254,-5.184823000195817,,,,dev,2024-08-01_2024-08-08
SOLUSDT:ACTIVE_POOL:HIGH:1722773700000000000:3601a7ed18c19fee,SOLUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,144.47,15,20.55744108752909,True,91487,1722775680000000000,0.0,FAILED_AUCTION_REVERSAL,SHORT,91490.0,1.72277586e+18,144.589,144.41036,144.453,TRANSFERRED_BOUNDARY_OB_OVERLAP,4.949752007089743,NO_FIRST_DEFENDED_RETURN,30.564327485381508,-2.2953216374269942,,,,dev,2024-08-01_2024-08-08
ETHUSDT:ACTIVE_POOL:HIGH:1762171200000000000:fd9a60aff6602059,ETHUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,3722.65,15,20.79462959007233,True,90012,1762171980000000000,0.0,FAILED_AUCTION_REVERSAL,SHORT,90014.0,1.7621721e+18,3726.38,3721.3864,3723.9136,TRANSFERRED_BOUNDARY_OB_OVERLAP,4.482400053968303,NO_FIRST_DEFENDED_RETURN,29.22283609576268,-4.863720073664621,,,,dev,2025-11-01_2025-11-08
SOLUSDT:ACTIVE_POOL:LOW:1738511700000000000:dca26a5e3cbd1765,SOLUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,209.55,5,12.32957317668472,True,88813,1738512840000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,88815.0,1.73851296e+18,209.09,209.58,209.82,DIRECTIONAL_FVG,3.757684049675299,NO_FIRST_DEFENDED_RETURN,28.39700669554764,-2.4025206774319083,,,,dev,2025-02-01_2025-02-08
XRPUSDT:ACTIVE_POOL:LOW:1752615900000000000:92870264dedceb6b,XRPUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,2.8586,15,15.749844742660729,True,88771,1754148720000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,88774.0,1.7541489e+18,2.8523,2.8631,2.8717,DIRECTIONAL_FVG,3.655532744136976,NO_FIRST_DEFENDED_RETURN,27.987344852764352,-2.117303480165576,,,,dev,2025-08-01_2025-08-08
BTCUSDT:ACTIVE_POOL:HIGH:1767240000000000000:5a142a7f41525f60,BTCUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,87995.0,15,15.831647958719264,True,87316,1767280620000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,LONG,87317.0,1.76728068e+18,88042.0,87942.9,87990.7,DIRECTIONAL_FVG,4.631901840490581,NO_FIRST_DEFENDED_RETURN,27.949388143039588,-10.229297849588386,,,,dev,2026-01-01_2026-01-08
ETHUSDT:ACTIVE_POOL:HIGH:1762077600000000000:89800393963f99c2,ETHUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,3901.86,15,15.461553279072444,True,89262,1762126980000000000,0.0,FAILED_AUCTION_REVERSAL,SHORT,89268.0,1.76212734e+18,3906.98,3903.53,3903.62,ORDER_BLOCK,5.783835270514601,NO_FIRST_DEFENDED_RETURN,27.605177993528297,-2.2977346278317468,,,,dev,2025-11-01_2025-11-08
XRPUSDT:ACTIVE_POOL:LOW:1738635300000000000:6d48bebf49fb8934,XRPUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,2.69,15,21.123192927253037,True,90990,1738643460000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,90991.0,1.73864352e+18,2.6812,2.6937,2.6949,ORDER_BLOCK,3.379222897731561,NO_FIRST_DEFENDED_RETURN,27.494855967078955,-2.250514403292253,,,,dev,2025-02-01_2025-02-08
XRPUSDT:ACTIVE_POOL:LOW:1762127100000000000:a12f15e4bebef773,XRPUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,2.4869,15,35.81186878053533,True,89375,1762133760000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,89376.0,1.76213382e+18,2.4812,2.486,2.4913,DIRECTIONAL_FVG,4.906693293635055,NO_FIRST_DEFENDED_RETURN,27.37254901960961,-6.11764705882396,,,,dev,2025-11-01_2025-11-08
