scenario_id,family,direction,signal_ts_ns,signal_day_utc,signal_hour_utc,submission_ts_ns,reference_entry_price,expected_entry_price,stop_price,target_price,target_reason,liquidity_level,atr_at_signal,quantity,equity_before_entry,planned_loss_budget,loss_per_unit,net_rr_at_submission,fee_rate_per_fill,actual_entry_price,opened_ts_ns,opened_bar_index,actual_exit_price,closed_ts_ns,closed_day_utc,closed_hour_utc,duration_minutes,realized_pnl_after_cost,realized_return,realized_r_multiple,outcome,forced_exit_reason
LRB-1709051220000000000-000167,SRR,SHORT,1709051280000000000,2024-02-27,16,1709051340000000000,56957.4,56912.7,57087.0,56231.0,OPPOSING_INTERNAL_LIQUIDITY,56985.8,131.13500000000022,6.339,53733.32016724,1611.9996050172,254.29058356000246,2.3685478304700114,0.0007,56912.6,1709051340000000000,2428,57087.100000000006,1709051640000000000,2024-02-27,16,5.0,-1612.00636881,-0.003066104869572068,-1.0000041959022687,STOP,
LRB-1709051640000000000-000168,SRR,SHORT,1709051700000000000,2024-02-27,16,1709051760000000000,57006.8,56986.2,57121.6,56420.700000000004,OPPOSING_INTERNAL_LIQUIDITY,57076.5,101.80499999999992,7.255,52121.31379843,1563.6394139528998,215.51989108000026,2.254618669140056,0.0007,56986.1,1709051760000000000,2435,57121.7,1709052360000000000,2024-02-27,16,10.0,-1563.2744623,-0.0023795276391961996,-0.9997666011424098,STOP,
LRB-1709054460000000000-000171,SRR,SHORT,1709054520000000000,2024-02-27,17,1709054580000000000,57216.0,57197.8,57260.4,57001.2,OPPOSING_INTERNAL_LIQUIDITY,57250.0,57.780000000000655,10.61,50558.03933613,1516.7411800839,142.9431556800002,0.8147343567866984,0.0007,57197.7,1709054580000000000,2482,57001.299999999996,1709055300000000000,2024-02-27,17,12.0,1235.648027,0.0034337045021041314,0.8146729601761382,TARGET,
LRB-1709055660000000000-000173,SRR,LONG,1709055720000000000,2024-02-27,17,1709055780000000000,56908.8,56905.0,56683.9,57247.4,OPPOSING_INTERNAL_LIQUIDITY,56700.0,76.33000000000138,5.165,51793.68736313,1553.8106208938998,300.81862551999694,0.8719317813070904,0.0007,56905.100000000006,1709055780000000000,2502,57057.100000000006,1709061180000000000,2024-02-27,19,90.0,373.0496659,0.0026711138368968683,0.24008695839997946,TIMEOUT,TIMEOUT
LRB-1709062500000000000-000176,SRR,SHORT,1709062560000000000,2024-02-27,19,1709062620000000000,57209.1,57275.9,57312.8,56956.4,OPPOSING_INTERNAL_LIQUIDITY,57210.0,55.24500000000116,13.338,52166.73702903,1565.0021108709,117.33170372000109,2.0398356319034776,0.0007,57275.8,1709062620000000000,2616,57312.899999999994,1709062680000000000,2024-02-27,19,1.0,-1564.70865642,-0.0006477430258502066,-0.9998124894216681,STOP,
LRB-1709066160000000000-000181,SRR,LONG,1709066220000000000,2024-02-27,20,1709066280000000000,57044.2,57039.5,57016.3,57204.899999999994,OPPOSING_INTERNAL_LIQUIDITY,57045.0,65.92999999999957,14.707,50602.02837261,1518.0608511783,103.21347792000351,0.8257537844627119,0.0007,57039.6,1709066280000000000,2677,57016.2,1709066340000000000,2024-02-27,20,1.0,-1518.33685542,-0.0004102413060400398,-1.000181813687828,STOP,
LRB-1709079420000000000-000196,SRR,LONG,1709079480000000000,2024-02-28,0,1709079540000000000,56942.8,56949.1,56901.7,57116.700000000004,OPPOSING_INTERNAL_LIQUIDITY,56907.5,33.409999999999854,11.57,49083.69151719,1472.5107455157,127.26837903999738,0.6879473177896172,0.0007,56949.2,1709079540000000000,2898,57116.6,1709080140000000000,2024-02-28,0,10.0,1012.9990858,0.0029394618361627814,0.6879400295617057,OTHER_EXIT,
LRB-1709080320000000000-000197,SRR,SHORT,1709080380000000000,2024-02-28,0,1709080440000000000,57103.5,57121.8,57132.3,56904.4,OPPOSING_INTERNAL_LIQUIDITY,57117.8,38.375000000001094,16.579,50096.69060299,1502.9007180897,90.64784899999388,1.5155534468336995,0.0007,57121.698775559445,1709080440000000000,2913,57132.4,1709080560000000000,2024-02-28,0,2.0,-1503.36869252,-0.00018734079465323385,-1.000311380801584,STOP,
LRB-1709105100000000000-000228,SRR,SHORT,1709105160000000000,2024-02-28,7,1709105220000000000,57425.0,57426.5,57481.4,57182.5,OPPOSING_INTERNAL_LIQUIDITY,57473.9,30.815000000000147,10.758,48593.32191047,1457.7996573141,135.50070564000018,1.2071796912599442,0.0007,57426.4,1709105220000000000,3326,57481.5,1709105400000000000,2024-02-28,7,3.0,-1458.09123174,-0.0009594890155050386,-1.000200009942681,STOP,
LRB-1709108580000000000-000234,SRR,SHORT,1709108640000000000,2024-02-28,8,1709108700000000000,58626.6,58696.0,58858.899999999994,58226.899999999994,OPPOSING_INTERNAL_LIQUIDITY,58823.0,132.17500000000035,5.763,47135.23067873,1414.0569203618998,245.36241180000343,1.577478665784753,0.0007,58695.9,1709108700000000000,3384,58859.0,1709109720000000000,2024-02-28,8,17.0,-1414.17352209,-0.0027787290083293474,-1.000082459006014,STOP,
