variant,scenario_id,ts_event_ns,client_order_id,order_side,last_price,last_quantity,native_commission,extra_cost_to_composite_model,composite_cost_rate
baseline,opening-drive-9d90cca218b4c81939,1668332580000000000,O-20221113-092800-09-000-137,1,16559.5,24.84,74.0408364,234.46264859999997,0.00075
baseline,opening-drive-4c5118e08b8fac74c1,1668589800000000000,O-20221116-091000-09-000-139,2,16744.4,46.896,141.34416883,447.58986797000006,0.00075
baseline,opening-drive-4c5118e08b8fac74c1,1668590040000000000,O-20221116-091000-09-000-140,1,16758.5,28.137,84.87610461,268.774331265,0.00075
baseline,opening-drive-4c5118e08b8fac74c1,1668590040000000000,O-20221116-091000-09-000-140,1,16758.6,18.759,56.58742393,179.19350912,0.00075
baseline,opening-drive-7a72eea8fe585f7e37,1669652040000000000,O-20221128-161400-09-000-142,2,16075.6,34.327,99.32888182,314.5414590799999,0.00075
baseline,opening-drive-7a72eea8fe585f7e37,1669652760000000000,O-20221128-161400-09-000-143,1,16103.4,34.327,99.50065412,315.08540473,0.00075
baseline,opening-drive-119ada04384097a151,1669942680000000000,O-20221202-005800-09-000-145,1,17008.8,39.091,119.68038014,378.98787046,0.00075
baseline,opening-drive-119ada04384097a151,1669943520000000000,O-20221202-005800-09-000-146,2,16990.1,39.091,119.54879984,378.571199485,0.00075
baseline,opening-drive-a16382d1ded956a38e,1671069240000000000,O-20221215-015400-09-000-148,2,17614.1,21.397,67.84000159,214.82667168499992,0.00075
baseline,opening-drive-a16382d1ded956a38e,1671070740000000000,O-20221215-015400-09-000-149,1,17666.0,21.397,68.03989236,215.45965913999999,0.00075
baseline,opening-drive-adaa94b89eebae94c0,1673603400000000000,O-20230113-095000-09-000-151,1,18912.0,27.274,92.84505984,294.00935616,0.00075
baseline,opening-drive-adaa94b89eebae94c0,1673603520000000000,O-20230113-095000-09-000-152,2,18880.7,27.274,92.69139812,293.52276073,0.00075
baseline,opening-drive-300fc40dcd918133ac,1673631420000000000,O-20230113-173700-09-000-154,1,19352.0,18.602,64.79746272,205.19196527999998,0.00075
baseline,opening-drive-300fc40dcd918133ac,1673631600000000000,O-20230113-173700-09-000-155,2,19296.2,18.602,64.61062423,204.60031007000003,0.00075
baseline,opening-drive-376d99cd2e106e1036,1673655120000000000,O-20230114-001200-09-000-157,1,20116.1,8.652,31.3280095,99.2053634,0.00075
baseline,opening-drive-376d99cd2e106e1036,1673656740000000000,O-20230114-001200-09-000-159,2,20942.6,8.652,36.23907504,99.65745635999997,0.00075
baseline,opening-drive-7f6f4b39f086cbc3a4,1673832600000000000,O-20230116-013000-09-000-160,1,21145.7,15.822,60.22210777,190.70334127999996,0.00075
baseline,opening-drive-7f6f4b39f086cbc3a4,1673832840000000000,O-20230116-013000-09-000-161,2,21067.6,15.822,59.9996821,189.99899329999997,0.00075
baseline,opening-drive-2c0664b1d987a4067d,1675700160000000000,O-20230206-161600-09-000-163,1,23091.0,21.616,89.84431008,284.50698192,0.00075
