source_id,symbol,source_kind,source_side,source_price,source_timeframe_minutes,source_semantic_weight,source_accumulated,source_interaction_index,source_interaction_time_ns,line_slope_atr_per_hour,branch,side,confirmation_index,confirmation_time_ns,event_extreme,zone_lower,zone_upper,location_kind,event_strength,reason,counterfactual_mfe_r,counterfactual_mae_r,response_index,response_time_ns,episode_id
BTCUSDT:ACTIVE_POOL:LOW:1754697600000000000:2072823231cf9394,BTCUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,115850.0,1440,230.47519974722593,True,50537,1755483480000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,50538.0,1.75548354e+18,115711.0,115883.1,115902.461,TRANSFERRED_BOUNDARY_OB_OVERLAP,5.092604101926531,NO_FIRST_DEFENDED_RETURN,5.973881633787594,-1.8089070325803642,,,
XRPUSDT:15m:LOW:c3532:s2:1755632700000000000,XRPUSDT,DEFENDED_INTRADAY_SWING,LOW,2.8791,15,3.491521944545154,False,53037,1755633480000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,53039.0,1.7556336e+18,2.87,2.8798,2.8814,DIRECTIONAL_FVG,3.9473684210526376,NO_FIRST_DEFENDED_RETURN,5.93202448807268,-6.2275701921046425,,,
BTCUSDT:ACTIVE_POOL:LOW:1755603000000000000:0e9947624ccc7bb4,BTCUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,115270.0,15,18.485485483533786,True,52609,1755607800000000000,0.0,FAILED_AUCTION_REVERSAL,LONG,52611.0,1.75560792e+18,115224.8,115263.9,115282.597,TRANSFERRED_BOUNDARY_OB_OVERLAP,6.9225589225581015,NO_FIRST_DEFENDED_RETURN,5.630457933972629,-21.498402555911845,,,
SOLUSDT:ACTIVE_POOL:HIGH:1755516600000000000:47dd910e4cc21377,SOLUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,181.3,15,11.68459122409017,True,51118,1755518340000000000,0.0,FAILED_AUCTION_REVERSAL,SHORT,51120.0,1.75551846e+18,181.37,181.32,181.33,TRANSFERRED_BOUNDARY_OB_OVERLAP,3.0130676410648345,NO_FIRST_DEFENDED_RETURN,5.533333333333207,-13.399999999999432,,,
BTCUSDT:ACTIVE_POOL:HIGH:1755491100000000000:d29f4cc8a277f033,BTCUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,115345.0,5,4.749409804376724,True,50666,1755491220000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,LONG,50669.0,1.7554914e+18,115411.7,115353.7,115355.0,TRANSFERRED_BOUNDARY_OB_OVERLAP,2.6544292645110388,NO_FIRST_DEFENDED_RETURN,5.517026273300906,-10.432261852341064,,,
SOLUSDT:ACTIVE_POOL:LOW:1755388800000000000:fcc271cc5fdd626c,SOLUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,185.09,1440,224.0884901938728,True,50538,1755483540000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,50543.0,1.75548384e+18,184.22,185.13,185.19,DIRECTIONAL_FVG,4.353825480162974,NO_FIRST_DEFENDED_RETURN,5.505092210294379,-1.0872557115331678,,,
ETHUSDT:DIAGONAL:15:LOW:1755549900000000000:1755553500000000000:09275fc3f396cfd1,ETHUSDT,DIAGONAL_SUPPORT,LOW,4336.723999999999,15,5.124175019613786,True,51792,1755558780000000000,2.049943246311071,ACCEPTED_AUCTION_CONTINUATION,SHORT,51799.0,1.7555592e+18,4326.63,4334.32,4335.36,TRANSFERRED_BOUNDARY_OB_OVERLAP,4.8382193115470855,NEAREST_OPPOSING_LIQUIDITY_RR_BELOW_ONE,5.467995327178385,-2.059074716389694,51811.0,1.75555992e+18,
XRPUSDT:15m:LOW:c3442:s4:1755553500000000000,XRPUSDT,DEFENDED_INTRADAY_SWING,LOW,3.0504,15,5.005409020437335,False,51862,1755562980000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,51865.0,1.75556316e+18,3.035,3.049,3.0531,DIRECTIONAL_FVG,8.74666666666647,NO_FIRST_DEFENDED_RETURN,5.467357848696172,-3.2723149198122106,,,
ETHUSDT:ACTIVE_POOL:LOW:1754961000000000000:6391f7758b81845b,ETHUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,4231.11,5,5.7130498491957304,True,50806,1755499620000000000,0.0,FAILED_AUCTION_REVERSAL,LONG,50807.0,1.75549968e+18,4228.0,4233.82,4234.5,ORDER_BLOCK,5.7227805695142715,NO_FIRST_DEFENDED_RETURN,5.394557823129331,-1.2653061224489581,,,
SOLUSDT:ACTIVE_POOL:LOW:1755475200000000000:d3cb81523f7468f2,SOLUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,187.0,1440,346.4500432328349,True,50517,1755482280000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,50519.0,1.7554824e+18,186.43,186.91,187.05,DIRECTIONAL_FVG,5.088888888888809,NO_FIRST_DEFENDED_RETURN,5.347906704401328,-0.2146969844832632,,,
BTCUSDT:ACTIVE_POOL:LOW:1755558000000000000:89fed26da84efe70,BTCUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,115929.9,60,61.05422000827575,True,51863,1755563040000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,51873.0,1.75556364e+18,115463.8,115799.9,115828.9,DIRECTIONAL_FVG_OB_OVERLAP,9.212577818488754,NO_FIRST_DEFENDED_RETURN,5.1419431042719985,-3.684929630137171,,,
SOLUSDT:ACTIVE_POOL:LOW:1755586800000000000:6ca7d452231904b4,SOLUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,179.18,15,11.615766342299516,True,52279,1755588000000000000,0.0,FAILED_AUCTION_REVERSAL,LONG,52287.0,1.75558848e+18,178.89,179.23,179.29,TRANSFERRED_BOUNDARY_OB_OVERLAP,5.952826492654594,NO_FIRST_DEFENDED_RETURN,5.05084745762712,-0.9491525423728797,,,
ETHUSDT:ACTIVE_POOL:HIGH:1755608400000000000:6bd2ced38203027d,ETHUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,4315.71,15,27.610222628458377,True,52650,1755610260000000000,0.0,FAILED_AUCTION_REVERSAL,SHORT,52652.0,1.75561038e+18,4340.0,4312.728999999999,4316.8275,TRANSFERRED_BOUNDARY_OB_OVERLAP,13.339622641509244,NO_FIRST_DEFENDED_RETURN,5.014141414141487,-0.197691197691184,,,
XRPUSDT:ACTIVE_POOL:HIGH:1755608400000000000:87b67c7b8d1e1b85,XRPUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,3.0234,60,49.22431308511953,True,52646,1755610020000000000,0.0,FAILED_AUCTION_REVERSAL,SHORT,52652.0,1.75561038e+18,3.0365,3.0226,3.024999,TRANSFERRED_BOUNDARY_OB_OVERLAP,15.413984168866765,NO_FIRST_DEFENDED_RETURN,4.847107438016536,-0.12396694214874668,,,
XRPUSDT:ACTIVE_POOL:HIGH:1755598500000000000:3ad78f344b5ba3e2,XRPUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,3.0267,15,31.697907068712297,True,52647,1755610080000000000,0.0,FAILED_AUCTION_REVERSAL,SHORT,52652.0,1.75561038e+18,3.0365,3.0226,3.027615,TRANSFERRED_BOUNDARY_OB_OVERLAP,15.449593495936286,NO_FIRST_DEFENDED_RETURN,4.847107438016536,-0.12396694214874668,,,
ETHUSDT:ACTIVE_POOL:LOW:1755007200000000000:c4244e1e6abb5d8d,ETHUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,4255.56,60,63.087786662743845,True,50782,1755498180000000000,0.0,FAILED_AUCTION_REVERSAL,LONG,50783.0,1.75549824e+18,4252.56,4260.69,4262.76,ORDER_BLOCK,6.218225419664363,NO_FIRST_DEFENDED_RETURN,4.825503355705074,-3.3875838926176205,,,
BTCUSDT:ACTIVE_POOL:HIGH:1755548100000000000:9d948263df936fe0,BTCUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,116590.0,15,15.8576620646767,True,51683,1755552240000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,LONG,51686.0,1.75555242e+18,116636.0,116600.0,116621.0,DIRECTIONAL_FVG_OB_OVERLAP,3.364226336322818,NO_FIRST_DEFENDED_RETURN,4.819890804324117,-18.65717969533752,,,
BTCUSDT:ACTIVE_POOL:LOW:1754611200000000000:464344e95650a8be,BTCUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,114211.4,1440,218.85574784178652,True,52708,1755613740000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,52710.0,1.75561386e+18,114070.0,114151.8,114203.7,DIRECTIONAL_FVG,4.854747755148429,NO_FIRST_DEFENDED_RETURN,4.671878949524558,-1.5501747596509996,,,
BTCUSDT:ACTIVE_POOL:LOW:1755597600000000000:e071f5a2c24d4477,BTCUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,114560.0,60,43.31076145326361,True,52697,1755613080000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,52714.0,1.7556141e+18,113928.0,114151.8,114203.7,DIRECTIONAL_FVG_OB_OVERLAP,6.144600829039261,NO_FIRST_DEFENDED_RETURN,4.361693834040052,-0.044064361083711964,,,
BTCUSDT:ACTIVE_POOL:LOW:1755647100000000000:45e3e5fb1d9b4f54,BTCUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,112714.4,60,51.54487401081426,True,53274,1755647700000000000,0.0,FAILED_AUCTION_REVERSAL,LONG,53277.0,1.75564788e+18,112666.6,112742.6,112743.8,DIRECTIONAL_FVG_OB_OVERLAP,5.98515176279601,NO_FIRST_DEFENDED_RETURN,4.3363844393595565,-1.9530892448513553,,,
SOLUSDT:ACTIVE_POOL:HIGH:1755514800000000000:7143118a605c622c,SOLUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,181.9,15,23.110540986151328,True,51133,1755519240000000000,0.0,FAILED_AUCTION_REVERSAL,SHORT,51134.0,1.7555193e+18,181.99,181.8475,181.85,TRANSFERRED_BOUNDARY_OB_OVERLAP,4.97763513608156,NO_FIRST_DEFENDED_RETURN,4.333333333333207,-8.833333333333018,,,
BTCUSDT:ACTIVE_POOL:HIGH:1755515400000000000:90567a2e89f2ac4e,BTCUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,115222.0,5,10.26725407495671,True,51157,1755520680000000000,0.0,FAILED_AUCTION_REVERSAL,SHORT,51166.0,1.75552122e+18,115305.2,115270.9,115278.4,ORDER_BLOCK,6.446322504929935,NO_FIRST_DEFENDED_RETURN,4.328031809145592,-10.93141153081603,,,
SOLUSDT:ACTIVE_POOL:HIGH:1755554100000000000:a12116729046fdcd,SOLUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,183.71,15,19.053302499926012,True,51716,1755554220000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,LONG,51717.0,1.75555428e+18,184.16,183.72,183.89,DIRECTIONAL_FVG,6.058823529411539,NO_FIRST_DEFENDED_RETURN,4.194956353055353,-7.177497575169914,,,
