client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,account_id,trade_id,position_id,order_side,order_type,last_qty,last_px,currency,commission,liquidity_side,event_id,ts_event,ts_init,info,reconciliation
O-20250305-201500-001-000-37,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-037,BINANCE-001,T-d9a88ce8aed749f3-26162,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,SELL,MARKET,8.987,90050.6,USDT,687.89203087 USDT,TAKER,8ecc0d37-be0d-4d34-be45-98ed2f2a8458,2025-03-05 20:15:00+00:00,2025-03-05 20:15:00+00:00,{},False
O-20250305-201500-001-000-39,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-039,BINANCE-001,T-428f805b17a505b2-26173,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BUY,LIMIT,8.987,89820.2,USDT,242.16424122 USDT,MAKER,6a907da3-6159-4dd2-8a82-033f5f618d10,2025-03-05 20:18:00+00:00,2025-03-05 20:18:00+00:00,{},False
O-20250306-003000-001-000-40,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-040,BINANCE-001,T-45f48b3d1feb24a2-27103,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BUY,MARKET,9.811,90330.0,USDT,753.29348550 USDT,TAKER,4ce2533a-98d0-4093-8c7a-1f1a5b427208,2025-03-06 00:30:00+00:00,2025-03-06 00:30:00+00:00,{},False
O-20250306-003000-001-000-41,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-041,BINANCE-001,T-ff32419ebe781f3d-27115,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,SELL,STOP_MARKET,9.811,90155.1,USDT,751.83493319 USDT,TAKER,7d1214a9-05d2-4e62-af42-b2cf5cadd661,2025-03-06 00:33:00+00:00,2025-03-06 00:33:00+00:00,{},False
O-20250306-193500-001-000-43,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-043,BINANCE-001,T-78874938aa425576-31451,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BUY,MARKET,5.903,88146.7,USDT,442.28047459 USDT,TAKER,7f1ff8c3-fd45-472a-aef9-382940de365c,2025-03-06 19:35:00+00:00,2025-03-06 19:35:00+00:00,{},False
O-20250306-193500-001-000-45,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-045,BINANCE-001,T-3b9e8317d44fb8a3-31478,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,SELL,LIMIT,5.903,88406.2,USDT,156.55853958 USDT,MAKER,f1d30c60-c1ad-4db4-b30a-d6795d429b06,2025-03-06 19:42:00+00:00,2025-03-06 19:42:00+00:00,{},False
O-20250307-154500-001-000-46,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-046,BINANCE-001,T-8e1945eb24f7a61f-36044,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BUY,MARKET,4.496,88482.6,USDT,338.14510416 USDT,TAKER,ee300b7a-a8b3-4c85-b84c-0d2d1c627029,2025-03-07 15:45:00+00:00,2025-03-07 15:45:00+00:00,{},False
O-20250307-154500-001-000-47,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-047,BINANCE-001,T-a8dd3912a9def5db-36191,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,SELL,STOP_MARKET,4.496,87942.2,USDT,336.07991152 USDT,TAKER,6c3e441e-da04-4190-84dd-7eaad4c4dae8,2025-03-07 16:22:00+00:00,2025-03-07 16:22:00+00:00,{},False
O-20250307-195500-001-000-49,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-049,BINANCE-001,T-cffbae17e9b32d0f-37019,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BUY,MARKET,6.798,87573.6,USDT,506.02653288 USDT,TAKER,c921b093-06f9-4ba6-a387-dc24ab04e5fa,2025-03-07 19:55:00+00:00,2025-03-07 19:55:00+00:00,{},False
O-20250307-195500-001-000-51,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-051,BINANCE-001,T-8ac41b381a2aa827-37072,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,SELL,LIMIT,6.798,88225.7,USDT,179.92749258 USDT,MAKER,9a854b7b-cf36-4188-9d7e-873ad6deb3ab,2025-03-07 20:09:00+00:00,2025-03-07 20:09:00+00:00,{},False
O-20250309-171500-001-000-52,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-052,BINANCE-001,T-68cfb14d3bf47bdb-46787,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BUY,MARKET,4.957,82747.6,USDT,348.65287522 USDT,TAKER,630028f8-77f5-43b6-b20a-e10ec45f642d,2025-03-09 17:15:00+00:00,2025-03-09 17:15:00+00:00,{},False
O-20250309-171500-001-000-53,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-053,BINANCE-001,T-e07b428a04cf1aee-46814,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,SELL,STOP_MARKET,4.957,82257.5,USDT,346.58786338 USDT,TAKER,3231cbac-8998-45a2-bd61-15a033831ff3,2025-03-09 17:22:00+00:00,2025-03-09 17:22:00+00:00,{},False
O-20250309-191500-001-000-55,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-055,BINANCE-001,T-c8f60156e3082f11-47256,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BUY,MARKET,11.254,82413.4,USDT,788.35834306 USDT,TAKER,63b3763c-df2f-4af7-b07a-ea352dd99653,2025-03-09 19:15:00+00:00,2025-03-09 19:15:00+00:00,{},False
O-20250309-191500-001-000-57,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-057,BINANCE-001,T-4a30dc197d0adb24-47310,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,SELL,LIMIT,11.254,82751.2,USDT,279.38460144 USDT,MAKER,93e5ff97-19ce-4a3f-b5d9-b7c48d986c05,2025-03-09 19:29:00+00:00,2025-03-09 19:29:00+00:00,{},False
