symbol,side,ts,root_ts,source,entry,stop,target,root_low,root_high,entry_kind,pool,shift,rr,cost_r,scale,sweep_depth,shift_size,event_effort,flow,flow_resilience,retracement,event_minutes,trend_hour,eff_hour,trend_fourhour,eff_fourhour,relative_strength,market_direction,market_breadth,episode
ETHUSDT,1,1763586000000000000,1763576400000000000,1763574300000000000,2916.55,2872.99,3104.95,2913.81,2919.29,limit,2895.0,2937.25,4.325068870523368,0.0602592975206606,15.0,1.594661246933426,0.49506983257069015,1.0746942822797998,-0.01680892570474042,1.6230677089794898,1.995501096730764,165.0,4.587550469018931,0.7344783567366667,-0.3472012442186842,-0.01300464257595101,0.45900001523559575,1.4495161445402323,1.0,123
ETHUSDT,1,1763614800000000000,1763611800000000000,1763607600000000000,3021.0550000000003,3015.5899999999997,3056.99,3020.4,3021.71,limit,3028.72,3050.71,6.5754803293678945,0.49752049405301035,15.0,1.5939026541037786,0.2684851269488901,1.5629451642175183,-0.01135243611815858,2.250348313796005,3.8711667738580013,55.0,1.8332310251849429,0.24295604572534032,4.276324193937036,0.15364469663902686,-0.1037107720156003,2.8376641440968164,1.0,124
ETHUSDT,1,1763728800000000000,1763727900000000000,1763712000000000000,2649.09,2619.99,2721.99,2632.15,2666.03,limit,2642.65,2692.99,2.5051546391752137,0.0819306185567,60.0,1.1626661073359306,1.342840855095284,4.66332982066571,-0.0375371016084554,2.7647975997434604,3.596308498011254,20.0,1.2663564180122462,0.15161944563948593,-0.5518172474110906,-0.02741437788488555,0.27261854432626365,4.519434394321667,1.0,143
ETHUSDT,1,1763745000000000000,1763739300000000000,1763735400000000000,2720.4449999999997,2673.5699999999997,2831.8399999999997,2713.43,2727.46,limit,2717.08,2779.56,2.3764266666666662,0.05223254399999999,15.0,1.7868122043331387,0.3598270094243376,1.3210354890842548,0.07191220972838012,2.3947101551039256,2.7880431808991406,100.0,3.602788469932406,0.5268817204301041,1.7251979903906167,0.07796836711962835,0.03391633861480492,1.8138841224335382,1.0,145
ETHUSDT,1,1763760300000000000,1763757000000000000,1763749800000000000,2736.39,2706.99,2793.4199999999996,2735.93,2736.85,limit,2714.85,2755.0,1.9397959183673323,0.08376704081632627,15.0,0.5170591191647428,0.46765856637830183,0.8258391259632694,0.0710797548202249,2.636070537876734,1.6934509495191987,60.0,2.707150292696959,0.4915092083233725,-2.3732025558606376,-0.09122211813555652,0.37694582065509685,1.1450352316712302,1.0,149
SOLUSDT,-1,1763381100000000000,1763378100000000000,1763373600000000000,141.995,142.75,140.87,141.9,142.09,limit,142.55,141.78,1.4900662251655719,0.16926556291390832,15.0,0.5414490450428227,0.3134704997616768,1.1509185631542367,0.12145012994885034,1.9873514139021944,0.9261628402048879,55.0,1.453363226167649,0.23720930232558035,-0.9689088174449914,-0.03379721669979889,0.5085697172187694,0.06857699562672014,0.75,86
SOLUSDT,1,1763451600000000000,1763447700000000000,1763445600000000000,136.245,134.91,143.29000000000002,135.91,136.58,limit,135.35,136.99,5.277153558052415,0.09185056179775226,15.0,0.5485927245466011,0.5741086652231636,1.384160498352022,0.051279356407970926,1.862416194335956,1.5245774554259865,70.0,2.7939955040861304,0.40036563071299414,4.248404122651498,0.17535545023696694,-0.52894293896944,1.4866959685632588,1.0,100
SOLUSDT,1,1763469900000000000,1763468100000000000,1763465400000000000,137.315,136.87,139.05,137.24,137.39,limit,137.18,138.1,3.8988764044944726,0.2777157303370829,15.0,0.6328966371471265,0.7594759645765519,1.296005002378875,0.05231060882856441,1.7197999751833302,2.4155554984447964,35.0,1.0337311740069535,0.12468193384223948,1.2025036105795406,0.050756901157614866,0.027275252527962035,2.5399465896690874,1.0,105
SOLUSDT,-1,1763478000000000000,1763476200000000000,1763463600000000000,138.51999999999998,139.85,136.76,138.47,138.57,limit,139.06,137.68,1.3233082706766723,0.09373533834586376,60.0,0.9921083060805659,0.33070276869354603,3.314053018064837,-0.02369851507359701,1.6644930212837874,1.3991270983187374,35.0,1.0429856551103645,0.22777777777778235,0.6105281883572936,0.03715170278637858,0.9217517390863792,0.545453371130181,1.0,108
SOLUSDT,1,1763513400000000000,1763511600000000000,1763487000000000000,139.81,139.19,141.77,139.72,139.9,limit,139.21,141.11,3.161290322580635,0.2029499999999985,15.0,0.02013087028477354,0.12078522170835516,1.6458943457229058,0.009423750056660149,2.6478511275282974,2.7377983587238806,35.0,1.4494226605008913,0.18556701030928371,-0.30196305427103093,-0.012615643397813901,0.7160453163586409,2.028493576927355,1.0,113
