variant,scenario_id,ts_event_ns,client_order_id,order_side,last_price,last_quantity,native_commission,extra_cost_to_composite_model,composite_cost_rate
baseline,session-sweep-11ffd07d3e92e2663b,1669058880000000000,O-20221121-183100-09-000-139,2,15938.7,29.021,83.26026229,263.657497235,0.00075
baseline,session-sweep-0c847e8b84da57598b,1669258800000000000,O-20221124-030000-09-000-141,2,16683.7,33.883,101.75288528,322.217470045,0.00075
baseline,session-sweep-0c847e8b84da57598b,1669259460000000000,O-20221124-030000-09-000-142,1,16711.9,33.883,101.92487539,322.76210538500004,0.00075
baseline,session-sweep-fd3166fca35162d4d9,1670260200000000000,O-20221205-171000-09-000-144,1,17042.9,22.038,67.60645744,214.08711521000006,0.00075
baseline,session-sweep-fd3166fca35162d4d9,1670267760000000000,O-20221205-171000-09-000-145,2,16989.0,22.038,67.39264476,213.41004174,0.00075
baseline,session-sweep-63af9a4ea5e2c1eea0,1671123240000000000,O-20221215-165400-09-000-147,1,17394.6,18.474,57.84261127,183.16826902999998,0.00075
baseline,session-sweep-63af9a4ea5e2c1eea0,1671130140000000000,O-20221215-165400-09-000-148,2,17328.8,18.474,57.62380522,182.47538318000002,0.00075
baseline,session-sweep-27be0157232a19e193,1671733020000000000,O-20221222-181700-09-000-150,1,16605.0,44.408,132.7310712,420.3150588,0.00075
baseline,session-sweep-27be0157232a19e193,1671733260000000000,O-20221222-181700-09-000-151,2,16592.8,44.408,132.63355123,420.00624557,0.00075
baseline,session-sweep-61fec4612f18294c74,1673636340000000000,O-20230113-185900-09-000-153,2,19287.8,32.088,111.40324675,352.77694805000004,0.00075
baseline,session-sweep-61fec4612f18294c74,1673638140000000000,O-20230113-185900-09-000-154,1,19308.6,32.088,111.52338422,353.15738338,0.00075
baseline,session-sweep-7e2778959e6c8057a6,1674259860000000000,O-20230121-001100-09-000-156,2,22604.1,6.312,25.68187426,81.32593514000001,0.00075
baseline,session-sweep-7e2778959e6c8057a6,1674270660000000000,O-20230121-031100-09-000-159,1,22523.3,6.312,25.59007253,81.03522966999999,0.00075
baseline,session-sweep-39243be81c28c29d34,1674555780000000000,O-20230124-102300-09-000-160,1,22891.0,22.309,91.92155742,291.08493183,0.00075
baseline,session-sweep-39243be81c28c29d34,1674561000000000000,O-20230124-102300-09-000-161,2,22855.5,22.309,91.77900291,290.633509215,0.00075
baseline,session-sweep-b24fe7a1d8dcf6ec86,1675875000000000000,O-20230208-165000-09-000-163,1,22886.4,16.016,65.97874483,208.93269196999998,0.00075
baseline,session-sweep-b24fe7a1d8dcf6ec86,1675882500000000000,O-20230208-165000-09-000-164,2,22826.3,16.016,65.80548374,208.38403185999996,0.00075
baseline,session-sweep-e3ac590c275beb789e,1676477880000000000,O-20230215-161800-09-000-166,2,22794.8,8.077,33.14044793,104.94475177,0.00075
baseline,session-sweep-e3ac590c275beb789e,1676486640000000000,O-20230215-161800-09-000-167,1,22941.9,8.077,33.35431073,105.62198399500001,0.00075
baseline,session-sweep-8fb602aae084117349,1678444560000000000,O-20230310-103600-09-000-169,1,19826.6,8.946,31.92637745,101.10019524999998,0.00075
baseline,session-sweep-8fb602aae084117349,1678444860000000000,O-20230310-103600-09-000-170,2,19697.3,8.946,31.71816824,100.44086611,0.00075
baseline,session-sweep-b5061d62c42118fa28,1678897860000000000,O-20230315-163100-09-000-172,1,24352.7,8.936,39.1708309,124.04096449999999,0.00075
baseline,session-sweep-b5061d62c42118fa28,1678898460000000000,O-20230315-163100-09-000-173,2,24234.8,8.936,38.9811911,123.4404385,0.00075
baseline,session-sweep-c924309ec42aed7035,1679040960000000000,O-20230317-081600-09-000-175,2,26072.0,7.354,34.51202784,109.28808816,0.00075
baseline,session-sweep-c924309ec42aed7035,1679046840000000000,O-20230317-081600-09-000-176,1,26214.7,7.354,34.70092268,109.88625517000001,0.00075
baseline,session-sweep-5db6b31c0e473a2a03,1679303760000000000,O-20230320-091600-09-000-178,2,28181.8,9.186,46.59804266,147.56046844000002,0.00075
baseline,session-sweep-5db6b31c0e473a2a03,1679303880000000000,O-20230320-091600-09-000-179,1,28280.7,9.186,46.76157184,148.07831081000003,0.00075
baseline,session-sweep-202c80d6e0a89391e4,1679331180000000000,O-20230320-165300-09-000-181,1,27620.0,10.404,51.7245264,163.7943336,0.00075
baseline,session-sweep-202c80d6e0a89391e4,1679331360000000000,O-20230320-165300-09-000-182,2,27540.4,10.404,51.57545789,163.32228331000002,0.00075
baseline,session-sweep-bd6607443a1f32f64e,1679419860000000000,O-20230321-173100-09-000-184,2,28178.4,9.223,46.78008898,148.13694842000004,0.00075
baseline,session-sweep-bd6607443a1f32f64e,1679420100000000000,O-20230321-173100-09-000-185,1,28268.4,9.223,46.92950158,148.61008832000005,0.00075
baseline,session-sweep-51f7e77db6bca03116,1680225480000000000,O-20230331-011800-09-000-187,2,28233.0,10.416,52.93348704,167.62270896,0.00075
baseline,session-sweep-51f7e77db6bca03116,1680236280000000000,O-20230331-041800-09-000-190,1,28104.7,10.416,52.69293994,166.86097646000002,0.00075
baseline,session-sweep-a1beb9a4883e5fb94b,1681805160000000000,O-20230418-080600-09-000-191,2,29749.8,12.822,68.66134841,217.42760328999998,0.00075
baseline,session-sweep-a1beb9a4883e5fb94b,1681805580000000000,O-20230418-080600-09-000-192,1,29799.6,12.822,68.77628482,217.79156857999996,0.00075
baseline,session-sweep-c2d36e1e4130948075,1684427700000000000,O-20230518-163500-09-000-194,1,27055.0,12.081,58.8332619,186.30532934999997,0.00075
baseline,session-sweep-c2d36e1e4130948075,1684430340000000000,O-20230518-163500-09-000-195,2,26998.3,12.081,58.70996321,185.91488351499999,0.00075
baseline,session-sweep-1ea9b62f1537cda37e,1686616440000000000,O-20230613-003400-09-000-197,2,25934.6,14.609,68.19814285,215.96078569999997,0.00075
baseline,session-sweep-1ea9b62f1537cda37e,1686619800000000000,O-20230613-003400-09-000-198,1,25973.7,14.609,68.30096099,216.28637648500003,0.00075
baseline,session-sweep-e7172923535afb0538,1686704040000000000,O-20230614-005400-09-000-200,2,25963.0,18.612,86.98020408,275.43731291999995,0.00075
baseline,session-sweep-e7172923535afb0538,1686704280000000000,O-20230614-005400-09-000-201,1,25983.4,18.612,87.04854734,275.65373325999997,0.00075
baseline,session-sweep-9d9b5dffe679851649,1689178740000000000,O-20230712-161900-09-000-203,1,30506.0,9.398,51.60516984,163.41637115999998,0.00075
baseline,session-sweep-9d9b5dffe679851649,1689179220000000000,O-20230712-161900-09-000-204,2,30437.6,9.398,51.48946166,163.04996194,0.00075
baseline,session-sweep-76bc0ca9eb8093634f,1690906800000000000,O-20230801-162000-09-000-206,2,28951.8,9.512,49.57011389,156.97202731,0.00075
baseline,session-sweep-76bc0ca9eb8093634f,1690913820000000000,O-20230801-162000-09-000-207,1,29017.7,9.512,49.68294523,157.32932657000003,0.00075
baseline,session-sweep-afcc924bc0c89c2f1c,1694737800000000000,O-20230915-003000-09-000-209,1,26496.1,11.841,56.47325762,178.83198245499997,0.00075
baseline,session-sweep-afcc924bc0c89c2f1c,1694740020000000000,O-20230915-003000-09-000-210,2,26450.6,11.841,56.37627983,178.52488612,0.00075
baseline,session-sweep-4a4e78d9119a9ba9c8,1696525320000000000,O-20231005-170200-09-000-212,1,27455.5,7.035,34.76689965,110.095182225,0.00075
baseline,session-sweep-4a4e78d9119a9ba9c8,1696526400000000000,O-20231005-170200-09-000-213,2,27357.5,7.035,34.64280225,109.702207125,0.00075
baseline,session-sweep-dea9895afff32d671a,1698077640000000000,O-20231023-161400-09-000-215,2,30892.099999999995,7.164,39.83598079,126.14727250999996,0.00075
baseline,session-sweep-dea9895afff32d671a,1698078120000000000,O-20231023-161400-09-000-216,1,30978.2,7.164,39.94700846,126.49886013999999,0.00075
baseline,session-sweep-b4aaf651d9c6d036fe,1699524240000000000,O-20231109-100400-09-000-218,2,36756.899999999994,4.557,30.15021479,95.47568018499999,0.00075
baseline,session-sweep-b4aaf651d9c6d036fe,1699525320000000000,O-20231109-100400-09-000-219,1,36903.7,4.557,30.27062896,95.85699171499999,0.00075
baseline,session-sweep-3235a8f1a4edbd8fc8,1700067240000000000,O-20231115-165400-09-000-221,2,36339.4,5.732,37.49353934,118.72954126000002,0.00075
baseline,session-sweep-3235a8f1a4edbd8fc8,1700070120000000000,O-20231115-165400-09-000-222,1,36440.6,5.732,37.59795346,119.06018594000001,0.00075
baseline,session-sweep-bc3da9f51b8d423086,1700158200000000000,O-20231116-181000-09-000-224,1,36399.9,3.199,20.95979042,66.37266965500001,0.00075
baseline,session-sweep-bc3da9f51b8d423086,1700158860000000000,O-20231116-181000-09-000-225,2,36183.6,3.199,20.83524055,65.97826174999999,0.00075
baseline,session-sweep-0eb3f7fbaf88eb69e6,1700188560000000000,O-20231117-023600-09-000-227,2,36531.4,3.936,25.88176627,81.95892653000001,0.00075
baseline,session-sweep-0eb3f7fbaf88eb69e6,1700199360000000000,O-20231117-053600-09-000-230,1,36274.3,3.936,25.69961606,81.38211754000001,0.00075
baseline,session-sweep-1357a1e1b47ec12b40,1701418920000000000,O-20231201-082200-09-000-231,2,38286.1,6.278,43.26482444,137.00527741,0.00075
baseline,session-sweep-1357a1e1b47ec12b40,1701421560000000000,O-20231201-082200-09-000-232,1,38366.2,6.278,43.35534065,137.29191204999998,0.00075
baseline,session-sweep-fc209eee05237a9981,1702312020000000000,O-20231211-162700-09-000-234,1,41764.0,4.833,36.33217416,115.05188484,0.00075
baseline,session-sweep-fc209eee05237a9981,1702312440000000000,O-20231211-162700-09-000-235,2,41653.100000000006,4.833,36.23569781,114.74637641500003,0.00075
baseline,session-sweep-f3cb1d9b35c844a5e6,1702946820000000000,O-20231219-004700-09-000-237,2,42722.0,4.932,37.92688272,120.10179528,0.00075
baseline,session-sweep-f3cb1d9b35c844a5e6,1702949220000000000,O-20231219-004700-09-000-238,1,42822.700000000004,4.932,38.01628015,120.38488715000001,0.00075
baseline,session-sweep-71e75ca8df140ca186,1703236920000000000,O-20231222-092200-09-000-240,1,43655.9,3.952,31.05506102,98.34102658000002,0.00075
baseline,session-sweep-71e75ca8df140ca186,1703247720000000000,O-20231222-122200-09-000-243,2,43635.0,3.952,31.0401936,98.2939464,0.00075
baseline,session-sweep-8441a2a389ab48f4a7,1705075380000000000,O-20240112-160300-09-000-244,1,44530.700000000004,2.7,21.6419202,68.53274730000001,0.00075
baseline,session-sweep-8441a2a389ab48f4a7,1705076160000000000,O-20240112-160300-09-000-245,2,44309.100000000006,2.7,21.5342226,68.19170490000002,0.00075
baseline,session-sweep-4ffa196e25644ddbb4,1706463840000000000,O-20240128-174400-09-000-247,1,42154.899999999994,7.719,58.57086116,185.47439366499998,0.00075
baseline,session-sweep-4ffa196e25644ddbb4,1706464020000000000,O-20240128-174400-09-000-248,2,42120.3,7.719,58.52278723,185.32215954500003,0.00075
baseline,session-sweep-a92d5f3ef68a9d3253,1707151740000000000,O-20240205-164900-09-000-250,1,42633.6,5.357,41.10987514,130.18127126,0.00075
