symbol,side,ts,root_ts,source,scale,entry,stop,target,rr,entry_kind,root_low,root_high,pool,shift,flow,delivery_minutes,first_leg_minutes,test_effort,test_progress_per_volume,parent_guard,rebound_ts,tip,tip_ts,relative_strength,market_direction,market_breadth,episode
SOLUSDT,-1,1755309660000000000,1755305700000000000,1755301800000000000,60.0,187.65,188.07,186.39999999999998,2.9761904761906326,market,187.65,188.07,187.69,187.71,-0.1239176705924454,36,66,0.8295344153981573,1.2469004632561163,197.98,1755307500000000000,188.06,1755309240000000000,-0.08031184652313518,0.09330679733051647,0.75,168
SOLUSDT,1,1755346560000000000,1755338700000000000,1755336600000000000,60.0,186.1,185.27,187.22,1.3493975903614772,market,185.27,186.1,185.28,186.0,-0.14451517224132437,61,36,0.38321664329971156,0.9346704065758196,185.28,1755342900000000000,185.3,1755345780000000000,-0.02559034475420585,0.968336043840816,1.0,173
XRPUSDT,-1,1754872680000000000,1754870400000000000,1754868300000000000,60.0,3.1911,3.2063,3.1707,1.342105263157884,market,3.1911,3.2063,3.1915,3.1913,-0.12486966306594871,23,36,2.6655877539286763,0.7412804899041353,3.2775,1754871300000000000,3.2062,1754872380000000000,-0.27000169364852245,0.458563962916751,1.0,108
XRPUSDT,1,1754909460000000000,1754907600000000000,1754903400000000000,60.0,3.264,3.2489,3.2830999999999997,1.2649006622516579,market,3.2489,3.264,3.249,3.2637,-0.2021320962796087,26,71,0.7037155495055493,1.5805413328068598,3.1561,1754907900000000000,3.2542,1754909340000000000,0.14679916397612675,-0.21766683637340173,0.25,115
XRPUSDT,-1,1754960700000000000,1754958600000000000,1754955000000000000,60.0,3.142,3.1508000000000003,3.1313000000000004,1.2159090909089825,market,3.142,3.1508000000000003,3.148,3.1427,-0.10573152463452296,30,61,0.9997449791851383,2.0030360684155974,3.2273,1754958900000000000,3.1507,1754960220000000000,0.07066677593546214,-0.0241210943347734,0.5,120
XRPUSDT,-1,1754996160000000000,1754994900000000000,1754993700000000000,60.0,3.1257,3.1303,3.1126,2.8478260869565846,market,3.1257,3.1303,3.1274,3.1266,0.00363789247773616,11,21,0.5276721004089168,2.5615081081393245,3.2273,1754995500000000000,3.1302,1754996100000000000,-0.3418593029741068,-1.0275521051432623,0.25,125
XRPUSDT,1,1755050160000000000,1755047700000000000,1755045300000000000,60.0,3.2257,3.2148999999999996,3.2367,1.0185185185185162,market,3.2148999999999996,3.2257,3.215,3.2249,-0.06667965835563161,21,41,0.4376226595820765,1.8799332931999924,3.1136,1755048900000000000,3.2167,1755049500000000000,-0.3253093774697677,0.33626593694703977,1.0,131
XRPUSDT,1,1755085440000000000,1755083100000000000,1755081600000000000,60.0,3.2852,3.2744999999999997,3.2977,1.1682242990653546,market,3.2744999999999997,3.2852,3.284,3.2815,-0.21833512015717893,29,26,0.8842300449888649,1.5079032214406665,3.2055,1755083700000000000,3.2746,1755084720000000000,0.30757151581653347,-0.18245795904898005,0.25,134
XRPUSDT,1,1755090360000000000,1755088800000000000,1755087900000000000,60.0,3.2779,3.2699,3.2874999999999996,1.1999999999999778,market,3.2699,3.2779,3.2762,3.2728,0.06963788672153393,16,16,1.9240306655386512,0.5139024354723487,3.2055,1755089400000000000,3.27,1755090000000000000,-0.1825556790726825,-0.06023322026010232,0.5,134
XRPUSDT,-1,1755182700000000000,1755179700000000000,1755179100000000000,60.0,3.1225,3.1397000000000004,3.0947,1.6162790697674139,market,3.1225,3.1397000000000004,3.1344,3.1227,0.01487658711773654,30,11,0.5992813771950651,0.5573476998890228,3.3565,1755180900000000000,3.1396,1755181980000000000,0.22803155260799493,-0.03896511064777339,0.5,149
XRPUSDT,-1,1755193140000000000,1755190500000000000,1755189000000000000,60.0,3.0726,3.0847,3.0461,2.1900826446280566,market,3.0726,3.0847,3.0732,3.079,0.03022827199005995,24,26,0.7191554226373338,2.122150052299879,3.3565,1755191700000000000,3.0846,1755192660000000000,0.20214611063282006,-0.06281090607367944,0.5,151
XRPUSDT,-1,1755226440000000000,1755222900000000000,1755220800000000000,60.0,3.0982,3.1053,3.0849,1.8732394366195817,market,3.0982,3.1053,3.0984,3.0987,-0.16850868669284802,49,36,0.7819589031016848,0.6748920609668357,3.3565,1755223500000000000,3.1052,1755226140000000000,0.06295891378708918,0.6012038051086963,1.0,156
XRPUSDT,1,1755257880000000000,1755255300000000000,1755253500000000000,60.0,3.1045,3.0951999999999997,3.1148,1.1075268817204174,market,3.0951999999999997,3.1045,3.1,3.1026,-0.048951697112677106,28,31,1.3083879245199235,0.7897759632048685,3.0278,1755256200000000000,3.0953,1755256800000000000,0.06927742273849292,0.10035188172701821,1.0,162
XRPUSDT,1,1755268740000000000,1755266100000000000,1755263400000000000,60.0,3.0802,3.0665999999999998,3.0991999999999997,1.39705882352936,market,3.0665999999999998,3.0802,3.0698,3.0801,-0.06837135429736574,29,46,0.6457787675970857,1.542859269691247,3.0278,1755267000000000000,3.0667,1755268380000000000,-0.0015107568899247609,-0.09155282395960507,0.25,163
XRPUSDT,-1,1755285720000000000,1755284400000000000,1755283800000000000,60.0,3.0773,3.0933,3.0538000000000003,1.4687499999999896,market,3.0773,3.0933,3.0809,3.0794,-0.008933671093436235,17,11,0.929154608110056,0.9789185413336511,3.1414,1755284700000000000,3.0932,1755285420000000000,0.0029489475492872064,-0.8652218369949662,0.0,165
XRPUSDT,1,1755366600000000000,1755362700000000000,1755361500000000000,60.0,3.0987,3.0923,3.1092999999999997,1.656249999999909,market,3.0923,3.0987,3.093,3.0971,-0.09530233671708854,50,21,0.5073020062331368,0.7775942796888107,3.001,1755363600000000000,3.0924,1755366120000000000,0.05771733436521953,0.2163563296020864,0.75,178
