source_id,symbol,source_kind,source_side,source_price,source_timeframe_minutes,source_semantic_weight,source_confluence_weight,source_confluence_count,source_confluence_kinds,source_confluence_timeframes,source_accumulated,source_interaction_index,source_interaction_time_ns,line_slope_atr_per_hour,branch,side,confirmation_index,confirmation_time_ns,event_extreme,zone_lower,zone_upper,location_kind,event_strength,event_value_migration_atr,event_last_bar_flow_signed,event_consecutive_outside_closes,reason,counterfactual_mfe_r,counterfactual_mae_r,episode_id,entry_limit,response_index,response_time_ns,stop,target
XRPUSDT:ACTIVE_POOL:LOW:1755543600000000000:99a19fabaae3cc64,XRPUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,3.0419,15,13.042483333774276,13.042483333774276,1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,15,True,51863,1755563040000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,51873.0,1.75556364e+18,3.0238,3.0407,3.0414,DIRECTIONAL_FVG,8.974140562801622,1.4599042914398872,0.1428891830514546,5.0,NO_FINAL_FLOW_CONTROL_ON_DEFENDED_RETURN,5.831657569663918,-4.500622426505816,,,,,,
XRPUSDT:ACTIVE_POOL:LOW:1755617400000000000:382c1b0d1c916c99,XRPUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,2.9297,15,41.12753555230943,41.12753555230943,1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,15,True,52791,1755618720000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,52805.0,1.75561956e+18,2.9207,2.9248,2.9282,ORDER_BLOCK,4.210941014094596,0.08134677328281127,0.5879552557904082,8.0,NO_FINAL_FLOW_CONTROL_ON_DEFENDED_RETURN,5.8223019968589425,-1.3574153017725379,,,,,,
BTCUSDT:ACTIVE_POOL:LOW:1755603000000000000:0e9947624ccc7bb4,BTCUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,115270.0,15,18.485485483533786,18.485485483533786,1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,15,True,52609,1755607800000000000,0.0,FAILED_AUCTION_REVERSAL,LONG,52611.0,1.75560792e+18,115224.8,115263.9,115282.597,TRANSFERRED_BOUNDARY_OB_OVERLAP,6.9225589225581015,-0.3090542547725924,0.06630810091803681,0.0,NO_FINAL_FLOW_CONTROL_ON_DEFENDED_RETURN,5.630457933972629,-21.498402555911845,,,,,,
BTCUSDT:ACTIVE_POOL:LOW:1755531000000000000:8f42c512c8dbbe02,BTCUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,114862.5,15,18.949487026292232,18.949487026292232,1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,15,True,52063,1755575040000000000,0.0,FAILED_AUCTION_REVERSAL,LONG,52070.0,1.75557546e+18,114812.6,114846.069,114848.8,TRANSFERRED_BOUNDARY_OB_OVERLAP,4.18400578622254,-0.10278928490672783,0.333183007745932,0.0,NO_FINAL_FLOW_CONTROL_ON_DEFENDED_RETURN,5.582089552239561,-6.424307036248039,,,,,,
SOLUSDT:ACTIVE_POOL:HIGH:1755516600000000000:47dd910e4cc21377,SOLUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,181.3,15,11.68459122409017,11.68459122409017,1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,15,True,51118,1755518340000000000,0.0,FAILED_AUCTION_REVERSAL,SHORT,51120.0,1.75551846e+18,181.37,181.32,181.33,TRANSFERRED_BOUNDARY_OB_OVERLAP,3.0130676410648345,-0.09836950139535905,0.13433916684288652,0.0,NO_FINAL_FLOW_CONTROL_ON_DEFENDED_RETURN,5.533333333333207,-13.399999999999432,,,,,,
BTCUSDT:ACTIVE_POOL:HIGH:1755491100000000000:d29f4cc8a277f033,BTCUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,115345.0,5,4.749409804376724,4.749409804376724,1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,5,True,50666,1755491220000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,LONG,50669.0,1.7554914e+18,115411.7,115353.7,115355.0,TRANSFERRED_BOUNDARY_OB_OVERLAP,3.3331770105377787,0.20499423493340618,0.43779285137486146,3.0,NO_FINAL_FLOW_CONTROL_ON_DEFENDED_RETURN,5.517026273300906,-10.432261852341064,,,,,,
XRPUSDT:15m:LOW:c3442:s4:1755553500000000000,XRPUSDT,DEFENDED_INTRADAY_SWING,LOW,3.0504,15,5.005409020437335,5.005409020437335,1,DEFENDED_INTRADAY_SWING,15,False,51862,1755562980000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,51865.0,1.75556316e+18,3.035,3.049,3.0531,DIRECTIONAL_FVG,11.168643668489697,2.4219770018232256,0.14414526092856428,4.0,NO_FINAL_FLOW_CONTROL_ON_DEFENDED_RETURN,5.467357848696172,-3.2723149198122106,,,,,,
ETHUSDT:ACTIVE_POOL:LOW:1754961000000000000:6391f7758b81845b,ETHUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,4231.11,5,5.7130498491957304,5.7130498491957304,1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,5,True,50806,1755499620000000000,0.0,FAILED_AUCTION_REVERSAL,LONG,50807.0,1.75549968e+18,4228.0,4233.82,4234.5,ORDER_BLOCK,5.7227805695142715,0.5626492803874038,0.47766791895283156,0.0,NO_FINAL_FLOW_CONTROL_ON_DEFENDED_RETURN,5.394557823129331,-1.2653061224489581,,,,,,
SOLUSDT:ACTIVE_POOL:LOW:1755475200000000000:d3cb81523f7468f2,SOLUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,187.0,1440,346.4500432328349,346.4500432328349,1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,1440,True,50517,1755482280000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,50519.0,1.7554824e+18,186.43,186.91,187.05,DIRECTIONAL_FVG,5.838168865384194,0.7492799764953851,0.323331854634067,3.0,NO_FINAL_FLOW_CONTROL_ON_DEFENDED_RETURN,5.347906704401328,-0.2146969844832632,,,,,,
XRPUSDT:ACTIVE_POOL:LOW:1754242200000000000:ffd3c01e05351cdc,XRPUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,2.8838,15,14.31203151148215,14.31203151148215,1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,15,True,52989,1755630600000000000,0.0,FAILED_AUCTION_REVERSAL,LONG,52998.0,1.75563114e+18,2.8791,2.8804,2.8827,ORDER_BLOCK,4.028420632173804,-0.2938401085704679,0.2177465864663952,0.0,NO_FINAL_FLOW_CONTROL_ON_DEFENDED_RETURN,5.161290322580848,-2.4677419354839447,,,,,,
